# TGTM Table of Correspondences, “20230508”, includes Tangbe													
N	L	Type	TGTM	Env	ris	sahu	tag	tuk	mar	syang	gha	pra	tang
c74	74	R	wap		op	?	?	əw	ʌp	op	o	oː	?
c75	75	R	op		op	op	op	əp	o	?	o	?	op
c76	76	R	oŋ		oŋ	oŋ	oŋ	oŋ,uŋ	oŋ,oː,uŋ	uŋ	õ	oŋ,o,oː	oŋ
c77	77	R	on		on	?	on	on	ʌn	on	aẽ,wẽ	wẽ,ẽ	on
c78	78	R	on	tsʰ_	on	on,om	?	oi,=oj	ʌe	ɛ	?	e	?
c79	79	R	jon		jon	jon	jon	en	jen	jan,jon	rẽ,jwẽ	jẽ,je	?
c80	80	R	om		om	om	om	om	?	?	õ	ẽ	om
c81	81	R	or		or	or	or	or	or	o	u,a,ur	or	or
c82	82	R,V	u		u	u	u	u	u	u	u	u	u
c83	83	R	uː		uː	uː	uː	u	u	?	u	u	?
c84	84	R,V	ju		ju	?	?	?	?	?	ju	?	?
c85	85	R	juː		juː	juː	juː	?	?	?	i	?	?
c86	86	R	uk		?	uk	?	?	?	?	?	?	?
c87	87	R	ut		ut	ut,up	ui	?	?	wi	ui,=wi	u	?
c88	88	R	ut	j_	ut	ut,up	u	u	uː	?	?	iː	?
c89	89	R	ut	r,ʈ,ɖ_	ut	ut,up	ui,=uj	i	i,it	i	i,wi	iː	?
c90	90	R	ut	t,d,tʰ_	ut	ut,up	ui	ui,=uj	wi	?	i	iː	?
c91	91	R	up		up	up	up	up	u	u	u,uː	uː	up
c92	92	R	jup		jup	jup	jup	ip,jup	ju	ju	ju	?	?
c93	93	R	uŋ		uŋ	uŋ	uŋ,ũ	uŋ	uŋ,um	uŋ,um	ũ	ũ,uŋ,um	uŋ,uʱn
c94	94	R	un	s_	un	un,um	un	un	un	?	i	ĩ	un
c95	95	R	won	ʰŋ_	un	on,om	on	on	?	?	wĩ	wẽ	?
c96	96	R	un		un	un,una	un	un	un	?	wĩ	?	un
c97	97	R	um		um	um	um	um	um	um	ũ	ũ,=uŋ	um
c98	98	R	ur		ur	ur	ur	ur	ur	ur	ur	ur	ur
c99	99	R	ul		ul	ul	?	?	o	il,?	u,ul	uː	ul
c100	100	I	k		k	k	k	k	k	k	k	k	k
c101	101	I	k	_w	k	∅	h	k	k	k	k	k	k
c102	102	I	kʰ		kʰ	kʰ	h	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ
c103	103	I	kʰ	_w	kʰ	h	h	kʰ	kʰ	kʰ	kʰ,k	kʰ	kʰ
c104	104	I	g	A_	k	k	k,g	k	k,g	k,g	k	k	?
c105	105	I	g	B_	k	k	k,g	k	k	g	k,g	kʰ	?
c106	106	I	g	_w	k,∅	∅	∅	k	k	?	k	k,kʰ	?
c107	107	O	gj	A_	kj	kj	kj	kj	kj	gj	kj	kj	?
c108	108	O	gj	B_	kj	kj	kj	kj	kj	gj	k,kj	kʰj	?
c109	109	O	kr	_eː	k	k	k	ʈ	k	k	kr	kr	kr
c110	110	O	kr	_u	kr	kr	h	ʈ	k	k	kr	kr	kr
