ID	gloss	sani	axi	nesu	lalo	li	nasu	neisu	nosu
167.	sleep	ʑi²	ʑi̱²	ʑi̱²	ʔi̱²	ʑi̱²	ʑi⁵⁵	ʑi¹³	i̱⁵⁵
168.	pinch	tshi²	tshi̱²	tshi̱²	tɕhi̱²	tshi̱²	tshi̱⁵⁵	tshi¹³	tshi̱⁵⁵
169.	hungry	ni²	ni̱²	ȵi̱²	mi̱²	mi²	ȵi̱⁵⁵	ŋi¹³	mi̱⁵⁵
170.	thirsty	si²	si̱²	si̱²	ɕi̱²	si̱²	si̱⁵⁵	si¹³	si̱⁵⁵
171.	new	ɕi²	ɕi̱²	ɕi̱²	xɯ̱²	xi̱²	ɕi̱⁵⁵	xi¹³	ʂi̱⁵⁵
172.	split	bɪ²	bi̱²	bi̱²	bi̱²	bi̱²	bi̱⁵⁵	bi¹³	bɪ̱⁵⁵
173.	stomach	hɪ²	xi̱²	xi̱²	hi̱²	xi̱²	hi̱⁵⁵	hi¹³	hi̱⁵⁵
174.	heart	ni⁴⁴	ȵi̱³³	ȵi̱³³	?	ȵi̱³³	ni̱²	nɪ³³	?
175.	blink	tshi⁴⁴	tshi̱³³	tɕhi̱³³	tshi̱³³	?	tshi̱²	tshi³³	tshi̱⁴
176.	goat	tɕhi²	tɕhi̱²	tɕhi̱²	tʂhi̱²	tʂhɿ̱²	tʂhɿ̱⁵⁵	tʂhi¹³	tʂhi̱⁵⁵
177.	suck	?	tʂi̱²	tsi̱²	tʂi̱²	tʂɿ̱²	tʂɿ̱⁵⁵	tʂɤ¹³	tɕi̱⁵⁵
178.	saddle	ɣa⁴⁴	ɣo̱³³	ɣo̱³³	ho̱³³	xo̱³³	ɣo̱²	ɣo̱³³	ɣa̱⁴
179.	female	ma⁴⁴	mo̱³³	mo̱³³	mo̱³³	mo̱³³	mo̱²	mo̱³³	ma̱⁴
180.	exchange	pa⁴⁴	po̱³³	po̱³³	po̱³³	po̱³³	ɬo̱²	ɬo̱³³	pa̱⁴
181.	obtain	ɣa⁴⁴	ɣo̱³³	ɣo̱³³	ɣo̱³³	ɣo̱³³	ɣo̱²	ɣo̱³³	ɣɯ̱⁴
182.	rabbit	ɬa⁴⁴	lo̱³³	ɬo̱³³	lo̱³³	lo̱³³	ɬo̱²	ɬo̱³³	lɯ̱⁴
183.	brood	tsa⁴⁴	tso̱³³	tso̱³³	tso̱³³	tso̱³³	tso̱²	?	?
184.	shine upon	ɬɤ²	li²	ɬɤ̱²	ʔly̱²	lɤ̱²	ɬɤ̱⁵⁵	ɬi¹³	ɬɪ̱⁵⁵
185.	bite	qhɤ²	tʂho̱²	tshɤ̱²	kho²	khɤ̱²	khɤ̱⁵⁵	khi¹³	ɕɪ̱⁵⁵
187.	prickly ash (tree)	dzɤ²	dzo̱²	dzɤ̱²	dzy̱²	dzɤ̱²	dze̱⁵⁵	dzi¹³	dzɪ̱⁵⁵
188.	drill	lɤ²	ɬi²	lɤ̱²	ʔly̱²	lɤ̱²	lɤ̱⁵⁵	?	?
189.	burn grass on waste land	dɤ²	do̱²	dɤ̱²	ty̱²	dɤ̱²	de̱⁵⁵	?	ndi⁵⁵
190.	bear (fruit)	dɤ²	do̱²	dɤ̱²	?	?	de⁵⁵	di¹³	ndi⁵⁵
191.	family	ɣɤ²	ɣo̱²	ɣɤ̱²	?	vɤ̱²	ɣɤ̱⁵⁵	ʑi¹³	ʑɪ⁵⁵
192.	press from both sides	ȵɤ⁴⁴	no̱³³	nɤ̱³³	?	nɤ̱³³	ȵi²	ȵi³³	ȵi̱⁴
193.	come apart	ɬɤ⁴⁴	lo̱³³	lɤ̱³³	?	lɤ̱³³	ɬɤ̱²	ɬi³³	li̱⁴
194.	scoop up	tɤ⁴⁴	to̱³³	tɤ̱³³	ty̱³³	tɤ̱³³	tɤ̱²	ti³³	?
195.	stick in	tʂhɤ⁴⁴	tʂho̱³³	tshɤ̱³³	?	tʂhɤ̱³³	tʂhɤ̱²	tʂhi³³	?
196.	layer	tɤ⁴⁴	to̱³³	tɤ̱³³	?	?	tɤ̱²	ti³³	ti̱⁴
197.	can	kɯ²	kɯ̱²	kɯ̱²	ʔi̱²	kɯ̱²	kɯ̱⁵⁵	kɤ¹³	kɯ̱⁵⁵
198.	hold (between fingers)	tshi⁴⁴	tshi̱³³	tɯ̱³³	tshi̱³³	tshi̱³³	tshɯ̱²	tshɤ³³	tshi⁴
199.	take off	ɬɯ²	lɯ̱²	ɬɯ̱²	ʔli̱²	lɯ̱²	lɯ̱⁵⁵	lɤ¹³	li̱⁵⁵
200.	blow	mu⁴⁴	mu̱³³	mu̱³³	ʔmu̪̱³³	mɯ̱³³	mu̱²	mu³³	ṃu⁴
201.	Buddha	bu⁴⁴	bu̱³³	bu̱³³	ʔbu̪̱³³	bɯ̱³³	bu̱²	bu³³	bu⁴
202.	jar	bu²	bu̱²	bu̱²	bu̪̱²	bɯ̱²	bu̱⁵⁵	?	?
