# Southern Yi correspondences, mostly from Hansson 1989 or induced therefrom. See Lowe 1995 for details.
N	L	Type	PL	Env	PSL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
1	1	T	³		³	³	³³	³³	³³	³³	³³	³¹,²¹	³,⁴
2	1	T	²		²	²	¹¹	¹¹	¹¹	¹¹	¹¹	⁵⁵	¹,²
3	1	T	¹		¹	¹	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵,⁶
4	1	C	ᴴ		ᴴ	⁰	⁵⁵,³³	⁵⁵,³³	⁵⁵,³³	⁵⁵,³³	⁵⁵,³³	³³	³,⁴
5	1	C	ᴸ		ᴸ	⁰	¹¹,³³	¹¹,³³	¹¹,³³	¹¹,³³	¹¹,³³	²¹	¹,²,⁵,⁶
6	1	I	d		d	t	d,th	dd	d	d,tj,t	t,tj	t	t
7	1	I	dy		dy	dy	dj	dj	dj	ts	ts	k,?	tɕ
8	1	I	dz		dz,m+dz	dz	dz=dj	dz	dz	ts,tj,t	ts=tj	ts=tʃ	t=tɕ
9	1	I	g		g	k	g,ɣ	g	ɣ,g	k,tj	k	k	k=kj,kw
10	1	I	gr		m+gr,gr	kr	ɣ	ɣ	ɣ	k,tj	k	ɣ=k	k
11	1	I	gr		gr	r	ɣ,g	hh,gg	ɣ,g	tj	k	ɣ	k
12	1	I	k		k	kh	k	k	k	kh,tjh	kh	kh	kh
13	1	I	l		l	l,khl	l	l	l	xh,sjh,l	l	l	l
14	1	I	lw		lw	hl,lw	l	l	hl	sjh	l	l	l
15	1	I	m		m,my	m,hm	m	m	m	m	m	m	m
16	1	I	ml		ml,m+l	ly,hmr	mj	mj,mi	mj=m	mj=m	m	m	mj=m
17	1	I	mp		b,mp,m+p	mp	b	b	b	p	p	p=ph	p
18	1	I	my		my	my	m	m	m	mj	mj	m	m
19	1	I	n		n,s+n	n,hn	n	n	n	n	n	n	n
20	1	I	p		p	p	p	p	p	p	p	ph	ph
21	1	I	r		r	r,ʔ	ø,ɣ,j,z	ø,hh	ø,xh,ɣ	ɣ,k,xh,tjh	sjh,k,j	j	ʔø,k,l,kw
22	1	I	s		s	s	s=sj	s	sj=s	s=sj,ts	s=sj,ts	s,ʃ	s
23	1	I	w		w	w	0	0	0	0	0	0	0
24	1	I	ʔ+y		sj,ʔ+y		j	ss	j	j	j	ʒ	j
25	1	I	sr		j,sr	hr	j	x,y	sjh	sj	hi	x	h
26	1	I	t		t	th	th	d,t	t,th	th	t,th	th,d	th
27	1	I	c		c	c	tj	ts=tj,z	tj	tj=ts,j	tj=ts		tɕ
28	1	I	ky		tj,ky	ky,khy	tj,kh	q	tj,kh	tjh=tsh	tjh=tsh		tɕ,tɕh
29	1	I	ts		ts	ts	ts,?	ts	ts=tj	tjh=tsh	tjh=ts		th
30	1	I	dz		dz	dz	ts	ts=tj	ts=tj	ts=tj	ts=tj	ts,tʃ	t=tɕ
31	1	I	k		k	k	x	x	x	kh,tjh,?	kh	x=k
32	1	I	kr		kr	khr	kh	k	kh	tjh,ɣ	kh		kh,h
33	1	I	y		y	y,ʔi	z,j	ss,y	j	j,i	i	ʒ	ʔi,j
34	1	I	z		z	s	z=j	z=j	z=j	j	j=ʒ	z=j	l
35	1	I	ŋ		ŋ	ŋ	ŋ	ŋ	ŋ	ŋ,n	ŋ,nj	ŋ	ŋ
36	1	P	b+l		bl,b+l	l	ö	yu	ö	l	l		l
37	1	P	bj		by,b+y		bj	bj	b,p	pj=p	p	p=f	ph=pj
