FAILED.man		man42	man	³kãŋ	hill
FAILED.man		man24	man	²kjy	water
FAILED.man		man21	man	²tsjy	ten
FAILED.man		man46	man	¹hrə	eagle (nep cil 'hawk')
FAILED.man		man39	man	³tsə	point
FAILED.man		man52	man	⁴hrə	enemy
FAILED.man		man45	man	⁴ʃɔ	wheat
FAILED.mar		mar17	mar	˥laŋbo	steam
FAILED.mar		mar53	mar	³tʃjʌ	eagle (nep cil 'hawk')
FAILED.mar		mar34	mar	²ŋõ	bird-trap
FAILED.mar		mar36	mar	²ʃje	louse
FAILED.mar		mar3	mar	˥tʃʰi	fodder
FAILED.syang		syang26	syang	˥kʰũŋ	hole
FAILED.syang		syang28b	syang	²kuː	nine
FAILED.tag		tag1	tag	¹tʃʰje	fodder
c1.c100.c16.	Akil	tuk7	tuk	˥ki	feces
c1.c100.c17.	Akwi	tuk7	tuk	˥ki	feces
c1.c100.c179.c65.	Akjo	syang27	syang	˥kju	water
c1.c100.c179.c82.	Akju	syang27	syang	˥kju	water
c1.c100.c179.c82.	Akju	tuk27	tuk	˥kju	water
c1.c100.c179.c83.	Akjuː	tuk27	tuk	˥kju	water
c1.c100.c179.c88.	Akjut	tuk27	tuk	˥kju	water
c1.c100.c179.c91.	Akjup	syang27	syang	˥kju	water
c1.c100.c18.	Akjwi	man6	man	¹ku	chest
c1.c100.c18.	Akjwi	syang27	syang	˥kju	water
c1.c100.c18.	Akjwi	tuk27	tuk	˥kju	water
c1.c100.c180.c82.	Akju	tuk27	tuk	˥kju	water
c1.c100.c180.c83.	Akjuː	tuk27	tuk	˥kju	water
c1.c100.c180.c88.	Akjut	tuk27	tuk	˥kju	water
c1.c100.c184.c16.	Akril	gha10	gha	¹kre	waist
c1.c100.c184.c18.	Akrjwi	man8	man	¹kru	cubit
c1.c100.c184.c20.	Akre	gha10	gha	¹kre	waist
c1.c100.c184.c21.	Akreː	man9	man	¹kre	waist
c1.c100.c184.c22.	Akreː	gha10	gha	¹kre	waist
c1.c100.c184.c22.	Akreː	man9	man	¹kre	waist
c1.c100.c184.c23.	Akreː	gha10	gha	¹kre	waist
c1.c100.c184.c26.	Akret	man9	man	¹kre	waist
c1.c100.c184.c27.	Akrep	man9	man	¹kre	waist
c1.c100.c184.c31.	Akrew	gha10	gha	¹kre	waist
c1.c100.c184.c31.	Akrew	man9	man	¹kre	waist
c1.c100.c184.c33.	Akra	gha8	gha	¹kra	hair / head
c1.c100.c184.c33.	Akra	ris6	ris	¹kra	hair / head
c1.c100.c184.c33.	Akra	sahu7	sahu	¹kra	hair / head
c1.c100.c184.c35.	Akrja	gha10	gha	¹kre	waist
