# id,P-N.Vanuatu,Loc in etymon,Loc in new σ,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera''a',Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
1,pnv,Env,,type,hiw,ltg,lhi,lyp,vlw,mtp,lmg,vra,vrs,msn,mta,num,drg,kro,olr,lkn,mrl
57,u,,,V,ʉ,ʉ,ʉ,y|i,i,u|i,u,i|u,y,u,u,u,u,u,u,u,u
61,i,,,V,ɪ|i,e|i,ɛ,i​͡ɛ|ɛ|ɪ,ɪ|i,ɪ|i,æ|i,i,ɪ|i,ɪ|i,i,i,ɪ|i,ɪ,ɪ|i,ɪ|i,ɛ​͡a|i
66,e,,,V,ɪ,ɛ|i,ɛ,ɛ,ɛ,ɛ,ɛ,ɛ|i|ɪ,ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
71,a,,,V,a|e,a|e,a,a,a,a,a,a|i,i​͡a|a,a,a,a,a,a,a,æ|a,a|ɛ
75,o,,,V,ɔ|o,ɔ|o​͡ɔ|i​͡ɔ|o,ɒ|ɛ,œ|ɔ,ɔ,ɔ,œ|ɔ,u|ʊ|ɔ,ɔ|ʊ,ɔ,o,ɔ,ɔ,ɔ,ɔ,ɔ,ɔ|ɞ
83,i,C_#,,V,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
84,e,C_#,,V,∅|ə,∅|ə,∅,∅,∅,∅,∅,∅,∅,∅,e,∅,∅,∅,∅,∅,∅
86,a,C_#,,V,ə,ə,∅,∅,∅,∅,∅,ɪ|ɛ|a|ɔ|ʊ,∅,∅,a,∅,∅,∅,∅,∅,∅
93,o,C_#,,V,∅|ə,∅|ə,∅,∅,∅,∅,∅,∅|ɪ,∅,∅,o,∅,∅,∅,∅,∅,∅
94,u,C_#,,V,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅,∅
