0	1	Type	*	context	OEP	OHGP	GotP	ONP
1	1	V	a		a	a	a	a
2	1	V	e		e	e	e	e
3	1	V	i		i	i	i	i
4	1	V	o		o	o	o	o
5	1	V	u		u	u	u	u
6	1	V	 ̇		 ̇	 ̇	 ̇	
̇
7	1	V	ˇ		ˇ	ˇ	ˇ	ˇ
8	1	V	ɑ		ɑ	ɑ	ɑ	ɑ
9	1	V	ᴮ		ᴮ	ᴮ	ᴮ	ᴮ
10	1	V	t̑		t̑	t̑	t̑	t̑
11	1	V	au		ˇa	ᴮ	au	au
12	1	V	aq		 ̇	ei	ai	ai
13	1	G	j		ɤ	ɤ	j	j
14	1	I	m		m	m	m	m
15	1	I	n		n	n	n	n
16	1	I	r		r	r	r	r
17	1	I	l		l	l	l	l
18	1	I	s		s	s	s	s
19	1	C	m		m	m	m	m
20	1	C	n		n	n	n	n
21	1	C	r		r	r	r	r
22	1	C	l		l	l	l	l
23	1	C	s		s	s	s	s
24	1	F	m		m	m	m	m
25	1	F	n		n	n	n	n
26	1	F	r		r	r	r	r
27	1	F	l		l	l	l	l
28	1	F	s		s	s	s	s
29	1	C	v	*/A-	v	b	b	v
30	1	C	ɖ	*/A-	ɖ	d	ɪ	ɖ
31	1	C	x	*/A-	ɤ	h	h	ɤ
32	1	C	x	*/-K	x	x	x	ɤ
33	1	C	p	*/s-	p	p	p	p
34	1	C	p	*/T-	p	pf	p	p
35	1	C	t	*/P-	t	t	t	t
36	1	C	t	*/-H	tt	ts	t	t
37	1	C	k	*/S-	k	k	k	k
38	1	C	k	*/-H	đ	k	k	k
39	1	C	k	*/-H	đ	kx	k	k
40	1	C	b	*/N-	b	b	b	b
41	1	C	d	*/N-	d	t	d	d
42	1	C	g	*/N-	g	g	g	g
43	1	C	k	*/Q-	k	xx	k	k
44	1	I	f		f	f	f	f
45	1	I	ɪ		ɪ	d	ɪ	ɪ
46	1	I	x		h	h	h	h
47	1	I	p		p	pf	p	p
48	1	I	t		t	ts	t	t
49	1	I	k		k	kx	k	k
50	1	I	b		b	b	b	b
51	1	I	d		d	t	d	d
52	1	I	g		y	g	g	g
53	1	F	v		f	b	f	f
54	1	F	ȴ		x	x	x	ɤ
55	1	F	p		p	ff	p	p
56	1	F	t		t	ss	t	t
57	1	F	k		đ	xx	k	k
58	1	F	as		as	a	ᴮs	ar
59	1	F	an		an	an	an	a

