,kg,lb,bt,,kg,lb,bt,,khaling1,meaning,limbu1,bantawa
,l,,l,,oŋ,ɔŋ,,,lum,parboil,,"limma, limta"
,l,l,,,,a:k,ak,,lA,take from,la,
,l,,l,,oŋ,aŋ,,,lom,search for,,lamma (lamu)
,l,,l,,um,,umt,,lent,"swallow, pour down",,lenma (lentu)
,l,,l,,uk,uk,ukt,,le,to have intercourse,,lɨma (lɨsu)
,l,,l,,,u:tt,utt,,lim,sprout,,"limma, lima"
,l,l,,,ept,ɛpt,ept,,liŋ,insert,liːks,
,l,l,l,,er,ɛ:r,en,,let,release,lɛt,letma (leru)
,l,l,l,,ekt,ɛkt,ekt,,lemt,"soothe, comfort",lɛm,lemma (lemtu)
,l,,l,,uk,,uŋt,,lɛn,come out,,latma (laru) vt
,m,m,,,,akt,akt,,mot,be finished (food),maːt,
,m,,,,ekt,ak,,,mit,die,,
,m,m,m,,ɛnt,,ant,,moŋ,dream,makt,makma (maktu)
,m,,m,,ep,ɛp,,,mop,grope,,mapma
,m,,m,,ukt,okt,,,mu,do,,muma
,m,,m,,uŋt,oks,,,mu,be,,muma
,n,n,n,,oŋ,,aŋ,,nom,smell,nams,"namma, nama"
,n,n,n,,,ɔʔr,o,,nuk,rub with fingers or hands,nuk,nukma (nuu)
,n,n,n,,ipt,,ɨpt,,nu,be good,nuːr,numa
,ŋ,n,,,et,et,i,,ŋi,hear,nis,
,p,ph,bh,,e,es,es,,pil,"squeeze, milk",phiːnt,bʰinma (bʰilu) vt to squeeze (for juice)
,p,ph,,,,u:t,it,,pa,weave,phɔ,"baŋma, baŋtu"
,p,,p,,or,ɔʔr,,,pum,"hold in one's fist, make a fist",,pumma (pumtu)
,p,,b,,i,is,,,pott,blossom,,"batma, bara"
,p,ph,,,ek,,ekt,,pi,come,phɛn,
,p,ph,bh,,ot,,at,,pi,fart,phes,"bʰema, bʰesu"
,ph,,ph,,ok,a:ks,,,phipt,"suck out from, suck in",,pʰɨpma (pʰɨptu)
,ph,,ph,,um,um,up,,phɛnt,exchange (for something new),,pʰanma (pʰantu)
,ph,p,p,,Ip-si,ips,ims,,phuk,get up,pok,"pukma, pua"
,ph,ph,,,ept,,ems,,phi,be spoiled (of rice),phɛn,
,phl,ph,ph,,opt,,apt,,phlo,help,phaˀr,pʰama (pʰasu)
,phr,ph,,,ak,,ak,,phrok,untie,phaːks,
,pr,,p,,uŋt,,uŋs,,prɛm,"scratch, claw",,pamma (pamtu)
,r,y,y,,ot,,at,,ret,laugh,et,"ima, iya"
,r,,r,,umt,ups,,,rup,cut into pieces,,ropma (rou)
,r,,r,,ɛtt,a:t,,,ript,twist,,ripma (riptu
,r,y,,,emt,ɛm,emt,,rep,stand,yɛp ,
,r,,r,,utt,unt,,,ruŋt,"tremble, shiver",yuːnt,ruŋma (ruŋsu)
,r,y,,,u,u:r,u,,rumt,"coil around (a stick, tree), cut around (ridge)",yups,
,s,s,,,,ak,ak,,sA,"pass, issue a greeting",sa,
,s,,s,,um,,umt,,sent,see,,sinma (sintu)
,s,s,,,el,,el,,sel,cut out the bad parts,sɛnt,
,s,s,,,oŋt,,oŋt,,suŋ,pick,suŋ,
,s,s,,,er,eʔr,en ?,,set,kill,sɛt,
,s,s,s,,ip,,ip,,su,itch,sos,"suma, susa"
?,s,t,t,,eŋ,,eŋ,,sik,string beads,tiːks,tɨkma (tɨu)
,s,,s,,ut,,utt,,sʌmt,become numb (due to lack of circulation),,simma (simtu)
,t,,dh,,u,us,,,tup,"play music, beat metal",,kadʰuppa
,t,th,d,,ept,,ept,,ti,lay an egg,thiːnt ,dinma (dintu) 
,t,,dh,,ikt,ukt,,,tumt,track,,dʰumma (dʰumtu)
,t,,th,,aŋt,akt,,,,,thak,
,t,,"d,dh",,op,ups,up,,tɛn,"drop, fall",,danma (dantu) ;  dʰanma (dʰantu)
,t,,d,,ept,ipt,,,tot,be visible,,"datma, dara"
,t,th,dh,,ekt,akt,ekt,,tekt,"cork, block, fill up",thɛkt,dʰekma (dʰektu)
,t,,dh,,um,ums,umt,,tel,uproot,,dʰenma (dʰelu)
,t,th,d,,ɛp,,op,,tuŋ,drink,thuŋ,duŋma (duŋu)
,t,,,,u,,u,,ta,put,,
,th,,th,,a,a,,,thin,wake up,,tʰinma (tʰinta) ; tʰinma (tʰintu)
,th,th,,,imt,,imt,,thuŋt,"stab, gore",thoks,
,th,,th,,umt,,umt,,thent,"raise up, lift, stimulate, entice",,tʰenma (tʰentu)
?,th,,dh,,elt,ɛʔr,,,thopt,beat,,dʰapma (dʰaptu)
,ts,s,,,okt,,okt,,tsikt,know,sukt,
,ts,s,,,ɛnt,,lat,,ʦim,filter,siːpt,
,ts,,ch,,iŋ,i:ks,,,ʦor,pay,,cʰonma (cʰoru)
,ts,s,ch,,ott,,at,,ʦer,urinate,seˀr,cʰenma (cʰensu)
,ts,s,,,,a:t,at,,ʦek,"pinch, pluck",sekt,
,ts,,t,,ɛl,aʔr,,,ʦon,jump,,tanma (tanta
,ts,,ch,,ɛpt,apt,,,ʦom,chop,,cʰamma (cʰamsu)
,ts,s,,,in,,in,,tsukt,point (with a finger),sokt,
,ts,s,,,ɛm,,amt,,ʦek,"be hard, be stingy",sakt,
,ts,,ch,,,uks,uŋs,,ʦept,taste (liquid),,cʰemma (cʰemsu) 
,ts,s,,,ipt,,ipt,,ʦu,be spicy,sos,
,ts,s,,,okt,,okt,,ʦok,to sharpen,sukt ,
,ts,s,ch,,ɛnt,,ant,,ʦekt,close,sakt,cʰekma (cʰektu) vt 
,ts,,s,,ur,,un ?,,ʦent,teach,,cinma(cintu)
,tsh,s,th,,or,,or,,tshop,gather into a bundle,sups,tʰupma (tʰuu
,tsh,c,,,ept,,ept,,ʦhik,be cold,ciːkt ,
,tsh,s,,,u,,u,,ʦhu,be late,sus,
?,tsh,s,,,ent,,ent,,ʦhelt,be bright,sɛˀr,
,tsh,,th,,aŋ,aŋt,,,tshom,dance,,tʰomma (tʰoma)
,w,,w,,ek,ɛk,,,woŋ,enter,,"waŋma, waŋa"
,w,,w,,up,,up,,wɛp,scoop,,opma (ou)
,ʔ,ʔ,,,,aŋ,aŋ,,ʔemt,heat,am,
,ʔ,ʔ,,,oŋ,,ont,,ʔutt,"spoil (of grains, seeds)",unt,
,ʔ,ʔ,ʔ,,op,,ap,,ʔop,shoot,ap,"apma, au; apma, aptu"
,ʔ,ʔ,,,ekt,,ek,,ʔek,tear,ɛk,
,ʔ,,ʔ,,ot,a:t,,,ʔipt,cheat,,ipma (iptu)
,ʔ,ʔ,ʔ,,om,,om,,ʔum,put in the mouth,ums ,umma (umtu)
,ʔ,ʔ,,,unt,,ɨnt,,ʔor,break(cob of the corn),ɔˀr,
,ʔ,ʔ,ʔ,,ot,,at,,ʔe,defecate,es,ema (esa)
,ʔ,,ʔ,,opt,,upt,,ʔɛt,say,,etma (ettu)
,ʔ,ʔ,,,i,es,es,,ʔiŋ,buy,iŋ,
,ʔ,ʔ,ʔ,,,i,ɨ,,ʔok,crow,ɔːkt,"okma, oa"
,ʔ,ʔ,ʔ,,ɛt,,ett,,ʔip-si,sleep,ips,"imma, imsa"
,ʔ,,ʔ,,i,i,,,ʔopt,rise (sun),,upma (uptu)
,ʔ,,ʔ,,uk,ok,uk,,ʔak-khot,be displeased,,"akma, akta"
,,n,ŋ,,,apt,apt,,,,napt,ŋapma (ŋaptu)
,,,,,,,,,khri,help to walk from behing (a child),,
,,,t,,it,,,,,,,"tukma, tua"
,,th,th,,,a:p,ap,,,,thaŋ,"tʰaŋma, tʰaŋa"
,,y,y,,aŋt,,aŋt,,,,yaŋyaŋba (adj),"yaŋma, yaŋsa"
,,y,y,,om,,ams,,,,yak,"yakma, yaa"
,,n,ŋ,,im,,im,,,,nɔ,ŋoma (ŋosu)
,,k,k,,ek,,i,,,,kis,"kɨma, kɨsa ; kitma (kittu) vt (middle)"
,,h,kh,,ok,,ak,,,,haːp,"kʰapma, kʰawa"
,,l,l,,,iŋ,ɨŋ,,,,lɔˀr,loma (lo)
,,w,w,,akt,,akt,,,,waːt,watma (waru)
,,y,y,,up,,op,,,,yuŋ ,yuŋma
,,l,l,,opt,opt,opt,,plum,rinse,lup,lumma (lumtu)
,,c,c,,ok,ɛkt,ak,,,,caːk,"cakma, caa"
?,,s,c,,,is,ɨs,,,,suːt,citma (cittu)
,,s,ch,,ok,ɔ:kt,ok,,,,suks,"cʰuŋma, cʰuŋsa"
,,s,s,,oŋ,,o,,,,suk,sukma (suktu)
,,h,h,,et,ɛt,et,,,,hiŋ,"hɨŋma, hɨŋa"
,,m,m,,ut,,ɨtt,,,,muːtt,mutma (muttu)
,,s,s,,ent,,ent,,,,si,"sɨma, sɨa"
,,m,m,,on,,ant,,,,makt (kha=),"makma, makta"
