seq	gloss	page	form	phrase	phrase_gloss	nepali	remarks	variants	notebook	so	ex	hom	dfe
1290	insecte		gweʱ buluŋ			kira			tape Manang 1978 II.a.119 cah MM-MNT mai-juin 78: 162	tangbe78.162			insect
1291	chant		¹¹'¹¹buluŋ						tape Manang 1978 II.a.119 cah MM-MNT mai-juin 78: 162	tangbe78.162			song
1292	miel sauvage		¹¹kweʱ				Tib.		tape Manang 1978 II.a.119 cah MM-MNT mai-juin 78: 162	tangbe78.162			honey (wild)
1293	miel cultivé		ɖak kwe						tape Manang 1978 II.a.119 cah MM-MNT mai-juin 78: 162	tangbe78.162			honey (cultivated)
1294	falaise		ʃiŋ gwe			bhir			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 162	tangbe78.162		farine (pitho)	cliff
1295	farine		²²²praʔ			pitho			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 162	tangbe78.162		falaise (bhir)	flour
1296	farine de sarrazin		²²²praʔ			phāparko pitho			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			flour (buckwheat) 
1297	sarrazin		kjɛpra			phāpar			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			buckwheat
1298	riz cuit (céréale cuite de riz)		³³'³³kjəbɛ			cāmal ko bat			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			cooked rice
1299	riz décortiqué		³³'³³maken			cāmal			tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			milled rice
1300	orge		²¹mla			uwa		³³'²²	tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			barley
1301	blé		³³'³³kʌru						tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			wheat
1302	nourriture		⁰⁰goʱ	²²²²səʱma ³³'²¹tsugo	cook food!				tape Manang 1978 II.a.127 cah MM-MNT mai-juin 78: 163	tangbe78.163			food
1303	céréale cuite de sarrazin		²¹'¹¹səʱma			phāpar ko ɖhero	< ligature sous əu> 		tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			cooked cereal of buckwheat
1304	boule de tsampa		²¹gjəu ⁴⁴ken						tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			tsampa ball
1305	pain de sarrasin		²¹pɔʱ ³³ʃjuŋ				de style Manang		tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			buckwheat bread (Manang style)
1306	pain		⁴⁴'⁴⁴pita ¹¹kjaŋ			roti			tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			bread
1307	pâte à pain (?)		¹⁰gjaʱŋ			ghilo	#REF!		tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			bread batter
1308	riz gluant		pita			ghilo bhat			tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			sticky rice
1309	soupe aux quenelles		⁴⁴'⁴⁴lɛdɛ ³³'³³lidi					⁴⁴	tape Manang 1978 II.a.133 cah MM-MNT mai-juin 78: 163	tangbe78.163			soup (with quenelles)
1310	porte		⁴³khu						tape Manang 1978 II.a.138 cah MM-MNT mai-juin 78: 163	tangbe78.163		morve / snot	door
1311	morve		⁴³nəp						tape Manang 1978 II.a.138 cah MM-MNT mai-juin 78: 163	tangbe78.163		porte / door	snot
1312	fenêtre		⁴³nəp						tape Manang 1978 II.a.138 cah MM-MNT mai-juin 78: 163	tangbe78.163			window
1313	couvercle		¹¹'¹¹rəpsə					³³'⁴⁴khɔpkɔp	tape Manang 1978 II.a.138 cah MM-MNT mai-juin 78: 163	tangbe78.163			lid
1314	pincettes		³³'⁴⁴khapgəp						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164		tito	tongs
1315	amer		³³'³³kɔmbə			tito			tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164		pincettes / tongs	bitter
1316	souris		³³'³³kɔmbə			musā			tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			mouse
1317	chat		⁶⁶'⁶⁵nəmi			birālo			tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			cat
1318	oreille		⁴⁴'³³nokɔr						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			ear
1319	nez		²²'²¹ɲɛbjaŋ						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			nose
1320	bague		⁵⁵'⁵⁵nərki						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			ring
1321	tigre		⁴³tsjəp				dzɨn ‘tigre’		tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			tiger
1322	tigre rayé		⁶⁶'³³səmdzɨn						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			striped tiger
1323	lion		⁴⁴taʔ						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			lion
1324	ours		¹⁰kɔŋ			bhalu			tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			bear (animal)
1325	veine		¹⁰tom						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164		ligament	vein
1326	ligament		⁴¹tsə						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164		veine	ligament
1327	racine		⁴¹tsə						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			root
1328	sang		⁴³'³²tsəhə						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			blood
1329	viande, chair		kaʔ			māsu	< creek sous ʔ >	⁴⁴	tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			meat, flesh
1330	sol		⁴³ʃjə						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			ground
1331	dix		⁴³sə						tape Manang 1978 II.a.140 cah MM-MNT mai-juin 78: 164	tangbe78.164			ten
1332	Vent du Sud ( nom propre du__)		⁴⁴³tʃjyu						tape Manang 1978 II.a.149 cah MM-MNT mai-juin 78: 164	tangbe78.164			Southern Wind (proper name)
1333	Vent du Nord		⁴⁴'⁴⁴nəmə						tape Manang 1978 II.a.150 cah MM-MNT mai-juin 78: 165	tangbe78.165			Northern Wind
1334	un (nombre)		³³'³³phamo					²²ʔ	tape Manang 1978 II.a.150 cah MM-MNT mai-juin 78: 165	tangbe78.165			one (number)
1335	crasse, sale		¹¹¹giʱʔ			mailo			tape Manang 1978 II.a.150 cah MM-MNT mai-juin 78: 165	tangbe78.165			dirt, dirty
1336	c'est sale		¹¹¹'¹¹dokho			mailo cha			tape Manang 1978 II.a.150 cah MM-MNT mai-juin 78: 165	tangbe78.165			it is dirty
1337	taille		¹¹¹'¹¹dokho ²⁰wɛn						tape Manang 1978 II.a.150 cah MM-MNT mai-juin 78: 165	tangbe78.165			waist
1338	cou		⁴⁴⁵kreʔ						tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			neck
1339	belle-mère		³³'⁴⁴khari			sāsu			tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165		grand-mère/grand mother	mother-in -law
1340	grand-mère		⁴⁴mɔm						tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165		belle-mère / mother in law / sāsu	grand mother
1341	beau-père		⁴⁴mɔm			sasura			tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			father-in-law
1342	gendre		⁴⁴khe						tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			son-in-law
1343	petit bambou		²²ma÷̃			maliŋga	< creak sous ʔ>		tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			small bamboo
1344	menton		⁴⁴mø̃						tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			chin
1345	fiel		⁶⁵kam						tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			gall, bile
1346	voix		⁵⁵ʈhikpo				not a bit palatalized		tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			voice
1347	riz cuit		⁴⁴ke ̃				not a bit palatalized < creak après le e >		tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			rice (cooked)
1348	Zantoxylum alatum, poivre de Chine		⁴⁴ken ̃			timur 	< creak sous e >		tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			Zantoxylum alatum, Chinese pepper
1349	ail		⁴⁴'³³prymo			lasun		²²²  mid low	tape Manang 1978 II.a.152 cah MM-MNT mai-juin 78: 165	tangbe78.165			garlic
1350	oignon sauvage		²¹²nø̃ː			dzimbu	< creak sous ɔ >		tape Manang 1978 II.a.161 cah MM-MNT mai-juin 78: 165	tangbe78.165			wild onion
1351	coriandre		³³'³³tsumaʔ			dhaniyã			tape Manang 1978 II.a.161 cah MM-MNT mai-juin 78: 165	tangbe78.165			coriander
1352	navet		⁴⁴'⁴⁴thanji			mulā			tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			radish
1353	pomme de terre		⁴³lhau			ālu			tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			potatoe
1354	montagne (ttes sortes de)		⁴⁴'⁴⁴taja				himal and all mountains'		tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			mountain (any sort of)
1355	*		²¹ləʱ			bhanjyaŋ			tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			**
1356	une partie d'une montagne		⁴²'⁴⁴tɔŋɲa						tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			some feature of a mountain landscape
1357	? crête		ɲa						tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			? ridge
1358	vallée		¹¹'¹¹ləʱptsẽ						tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			valley
1359	dos		²¹luʱŋ					¹¹	tape Manang 1978 II.a.162 cah MM-MNT mai-juin 78: 166	tangbe78.166			back
1360	le mont et le col du Thorung		²¹gjəʱp						tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			Thorung Pass and hill
1361	en allant vers l'aval		³³'²²ɲaŋ-ləʱ						tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			downhill
1362	aller vers l'amont		⁴³thur						tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			to go uphill
1363	montée		khɛn-nɛn jɛwa			ukhalo			tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			uphill
1364	montées et descentes		⁴⁴³khɛn						tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			ups and downs
1365	vallée étroite		pɔpɔ ɲa ɲa					³³	tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			narrow valley
1366	crête		²²ɲaʔ						tape Manang 1978 II.a.171 cah MM-MNT mai-juin 78: 166	tangbe78.166			ridge
1367	neuf (nombre)		³³pɔʔ						tape Manang 1978 II.a.175 cah MM-MNT mai-juin 78: 166	tangbe78.166			nine
1368	poitrine		⁴⁴³ku·						tape Manang 1978 II.a.175 cah MM-MNT mai-juin 78: 166	tangbe78.166			chest
1369	dieu		⁵⁶ku						tape Manang 1978 II.a.175 cah MM-MNT mai-juin 78: 166	tangbe78.166			god
1370	oreiller		⁴²lhə			sirāni			tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			pillow
1371	creux		⁴³khũm						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			hollow
1372	coudée (une-)		²¹'³³tɔŋtɔŋ			1 hāt			tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			cubit (one-)
1373	coudée (deux-)		⁴⁴ku ³³naŋ			2 hāt			tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			cubit (two -)
1374	coudée		¹¹ɲi ²²ku			hāt			tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167		neuf / nine	cubit
1375	deux		⁴³ku						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			two
1376	trois		¹¹¹ɲiː					³³³	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			three
1377	quatre		⁴³som					¹⁰ (dessin)	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			four
1378	cinq		⁰⁰phliː					¹² (dessin)	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			five
1379	six		⁰ŋəʱ					²² (dessin)	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			six
1380	sept		⁰ʈuʱ					⁴⁴³	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			seven
1381	huit		⁴⁴ɲis					²² (dessin)	tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			eight
1382	neuf (nombre)		¹¹prɛʔ						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			nine
1383	dix		⁴³ku·						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			ten
1384	vingt		⁴³tʃjyu						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			twenty
1385	trente		¹¹'¹⁰ɲiʃju						tape Manang 1978 II.a.179 cah MM-MNT mai-juin 78: 167	tangbe78.167			thirty
1386	vingt-et-un 		somtʃju						tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 167	tangbe78.167			twenty one
1387	travail		ɲiʃju tsakʃik			kam	< creak sous eʔ>		tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 167	tangbe78.167			work
1388	travailler		³³³kjeʔ 			kam garne	< creak sous eô >		tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 167	tangbe78.167			work (to)
1389	beurre		kje· laʃje			ghyu			tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 168	tangbe78.168			butter
1390	or		¹⁰mər						tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 168	tangbe78.168			gold
1391	fantôme invisible		⁵⁴ser			bhut 	(= thakali /maŋ/)		tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 168	tangbe78.168			ghost (invisible)
1392	apparition, fantôme visible		¹¹'¹¹ʃipdaʔ			bhut, ban manche			tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 168	tangbe78.168			ghost (manifested), apparition
1393	glissement de terrain humide		²²²tuiʔ			pairo avec eau		²¹ʈwiʱ	tape Manang 1978 II.a.191 cah MM-MNT mai-juin 78: 168	tangbe78.168		peau / skin	landslide (wet)
1394	éboulement		²²ʈiʱʔ			pairo sans eau	< creak sous ʔ >		tape Manang 1978 II.a.197 cah MM-MNT mai-juin 78: 168	tangbe78.168			landslide (dry)
1395	rêve		²²'²¹bɔpso						tape Manang 1978 II.a.197 cah MM-MNT mai-juin 78: 168	tangbe78.168			dream
1396	rêver, voie en rêve		²¹maŋ			sapana dekhne			tape Manang 1978 II.a.197 cah MM-MNT mai-juin 78: 168	tangbe78.168			dream(to), to see in a dream
1397	tête		²²maŋ ²²'³³mɛŋgɔ						tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168			head
1398	ciseau		⁴³krə				mid low; 'cisel' sur cah MM-MNT mai-juin 78:		tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168	nar ⁴⁴sɔŋ 'coin à fendre / wedge'		chisel 
1399	excréments, feces		²¹sɔʱŋ 						tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168	nar ⁵⁵'³³apa		faeces
1400	neige		⁴⁴kiʔ					¹⁰	tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168			snow
1401	vêtement		²¹kʱiʱŋ				mid low		tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168			clothes
1402	chaussure		³³kɔ ¹¹lja						tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168			shoe
1403	chaussette		⁴⁴'⁴⁴puli						tape Manang 1978 II.a.200 cah MM-MNT mai-juin 78: 168	tangbe78.168			sock
1404	étui, fourreau		⁵⁵'³³kaŋʃju						tape Manang 1978 II.a.202 cah MM-MNT mai-juin 78: 168	tangbe78.168			sheath
1405	oeuf		⁵⁵ʃjuk						tape Manang 1978 II.a.202 cah MM-MNT mai-juin 78: 169	tangbe78.169			egg
1406	fleur		⁴³phuŋ						tape Manang 1978 II.a.202 cah MM-MNT mai-juin 78: 169	tangbe78.169			flower
1407	nom		²²'²²mɛndoʔ	¹¹gje ⁶⁶miŋ ⁵⁵ta ⁵⁵'³³imba	what is your name?				tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			name
1408	homme		⁶⁶miŋ						tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			man
1409	oeil		¹¹miʱ				< creaky >		tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			eye
1410	feu		⁴⁴mi						tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			fire
1411	queue		⁴³me						tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			tail
1412	boeuf (châtré)		⁵⁴mĕr			goru			tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			ox (castrated)
1413	vache		²¹meʱ			gai			tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			cow
1414	châtrer		mje mo						tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			castrate
1415	mâle entier		ʃjə tsjewa						tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			uncastrated male
1416	yak mâle entier		⁴'⁴⁴polo					²²ja ⁴⁴ʃjɔŋ	tape Manang 1978 II.a.205 cah MM-MNT mai-juin 78: 169	tangbe78.169			uncastrated male yak
1417	corne		⁴⁵ʃjɔŋ					⁵⁵	tape Manang 1978 II.a.214 cah MM-MNT mai-juin 78: 169	tangbe78.169			horn
1418	mouton		⁴⁴ru			bhera	 ̃  <creak>		tape Manang 1978 II.a.214 cah MM-MNT mai-juin 78: 169	tangbe78.169			sheep
1419	âne		²²kju						tape Manang 1978 II.a.214 cah MM-MNT mai-juin 78: 169	tangbe78.169			donkey
1420	dent		²¹'²² bumbu						tape Manang 1978 II.a.214 cah MM-MNT mai-juin 78: 169	tangbe78.169			tooth
1421	terre		⁵⁴sə			bhwi			tape Manang 1978 II.a.214 cah MM-MNT mai-juin 78: 169	tangbe78.169			earth
			⁴³sə										
