.form	⁴⁴'²²sukpo
seq	1
gloss	corps
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	2
gloss	corps
page	3
phrase	ŋai sukpo
phrase_gloss	mon corps
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	³³'⁴¹nəχi
seq	3
gloss	os
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	tshik
seq	4
gloss	jointures (articulations )
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	5
gloss	jointures (articulations )
page	3
phrase	ŋai tshik
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	ka̰·ʔ
seq	6
gloss	sang
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	nikum
seq	7
gloss	rides
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	butshəm
seq	8
gloss	poil
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	kʌ
seq	9
gloss	tête, cheveux
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	kʌtshəm
seq	10
gloss	tête, cheveux
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	11
gloss	tête, cheveux
page	3
phrase	kʌ ʃjərtse
nepali	kapal karyo
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	12
gloss	tête, cheveux
page	3
phrase	ŋai kʌ
phrase_gloss	mes cheveux
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	13
gloss	tête, cheveux
page	3
phrase	⁵²ŋai ³³kʌ ⁵⁵maŋ
phrase_gloss	mes cheveux sont noirs
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	maŋ theʔ
seq	14
gloss	moustache et barbe
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	mi·ʔ
seq	15
gloss	oeil
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	16
gloss	oeil
page	3
phrase	ŋʌi miʔ
phrase_gloss	mon oeil
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	mik tshəm
seq	17
gloss	cil
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	lɛppa
seq	18
gloss	cervelle
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	19
gloss	cervelle
page	3
phrase	ŋai lɛppa
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	thɔppo
seq	20
gloss	front
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	ne ɲe
seq	21
gloss	tempe
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	22
gloss	tempe
page	3
phrase	ŋai nje
phrase_gloss	ma tempe
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	ɖəmpo
seq	23
gloss	joue
page	3
nepali	gāla
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	24
gloss	joue
page	3
phrase	ŋai ɖəmpo
phrase_gloss	ma joue
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	kə̆m
seq	25
gloss	menton
page	3
nepali	ciuro
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	26
gloss	menton
page	3
phrase	ŋai kəm
phrase_gloss	mon menton
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	(mi) miktsik
seq	27
gloss	globe oculaire
page	3
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	
seq	28
gloss	globe oculaire
page	3
phrase	ŋai mi miktsik
notebook	Tangbe Paris 1996-1
so	tangbe96.1.3
.form	nʌki
seq	29
gloss	nez
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	30
gloss	nez
phrase	ŋai nʌki
notebook	Tangbe Paris 1996-1
so	tangbe96.1.
.form	nʌki khuŋ
seq	31
gloss	narine
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	ʈiʱ
seq	32
gloss	peau
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	33
gloss	peau
page	5
phrase	ŋai ʈiʱ
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	sja
seq	34
gloss	viande
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	35
gloss	viande
page	5
phrase	nakʰa sja
phrase_gloss	viande de poulet
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	ɲe bjaŋ
seq	36
gloss	oreille
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	37
gloss	oreille
page	5
phrase	⁵⁵ŋai ²²'²²ɲe bjaŋ
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	suŋ
seq	38
gloss	bouche
page	5
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	
seq	39
gloss	bouche
page	5
phrase	ŋai suŋ
notebook	Tangbe Paris 1996-1
so	tangbe96.1.5
.form	sʌ
seq	40
