1.14.12.16.	tahi	6.1	tongien	tahi	mer
11.14.3.17.	lafo	32.4	hawai	laho	testicules
11.17.15.	lou	33.2	samoan	lou	gaule ˇ fruit
11.17.15.	lou	33.3	raroton	rou	gaule ˇ fruit
11.17.15.	lou	33.4	hawai	lou	gaule ˇ fruit
11.17.7.17.	loNo	34.2	samoan	loNo	entendre
11.17.7.17.	loNo	34.3	raroton	roNo	entendre
11.17.7.17.	loNo	34.4	hawai	lono	entendre
11.17.9.17.	lono	34.4	hawai	lono	entendre
12.14.15.	hau	18.1	tongien	hau	rosẹ
12.14.5.18.	hake	21.1	tongien	hake	en haut
12.15.15.	huu	22.1	tongien	huu	pṇṭrer
12.16.5.15.	hiku	20.1	tongien	hiku	queue
13.14.14.	saa	14.3	raroton	Qaa	quatre
13.14.14.	saa	14.4	hawai	haa	quatre
13.14.15.	sau	18.1	tongien	hau	rosẹ
13.14.15.	sau	18.2	samoan	sau	rosẹ
13.14.15.	sau	18.3	raroton	Qau	rosẹ
13.14.15.	sau	18.4	hawai	hau	rosẹ
13.14.5.18.	sake	21.1	tongien	hake	en haut
13.15.15.	suu	22.1	tongien	huu	pṇṭrer
13.16.5.14.	sika	19.2	samoan	siQa	faire du feu 
13.16.5.14.	sika	19.3	raroton	Qika	faire du feu 
13.16.5.14.	sika	19.4	hawai	hiQa	faire du feu 
13.16.5.15.	siku	20.1	tongien	hiku	queue
13.16.5.15.	siku	20.2	samoan	siQu	queue
13.16.5.15.	siku	20.3	raroton	Qiku	queue
13.16.5.15.	siku	20.4	hawai	hiQu	queue
13.18.5.18.	seke	15.3	raroton	Qeke	poulpe
13.18.5.18.	seke	15.4	hawai	heQe	poulpe
14.13.16.	asi	13.3	raroton	aQi	feu
14.13.16.	asi	13.4	hawai	ahi	feu
14.15.	au	10.2	samoan	au	fiel
14.15.	au	10.3	raroton	au	fiel
14.15.	au	10.4	hawai	au	fiel
14.3.16.	afi	13.1	tongien	afi	feu
14.3.16.	afi	13.2	samoan	afi	feu
14.3.16.	afi	13.3	raroton	aQi	feu
14.3.16.	afi	13.4	hawai	ahi	feu
14.5.14.	aka	9.1	tongien	aka	racine
14.5.14.	aka	9.2	samoan	aQa	racine
14.5.14.	aka	9.3	raroton	aka	racine
14.5.14.	aka	9.4	hawai	aQa	racine
14.5.18.	ake	21.2	samoan	aQe	en haut
14.5.18.	ake	21.3	raroton	ake	en haut
14.5.18.	ake	21.4	hawai	aQe	en haut
15.10.15.	uru	11.2	samoan	ulu	tⓒte
15.10.15.	uru	22.2	samoan	ulu	pṇṭrer
15.10.15.	uru	11.3	raroton	uru	tⓒte
15.10.15.	uru	22.3	raroton	uru	pṇṭrer
15.11.15.	ulu	11.2	samoan	ulu	tⓒte
15.11.15.	ulu	22.2	samoan	ulu	pṇṭrer
15.11.15.	ulu	11.3	raroton	uru	tⓒte
15.11.15.	ulu	22.3	raroton	uru	pṇṭrer
15.13.16.	usi	12.3	raroton	uQi	igname
15.13.16.	usi	12.4	hawai	uhi	igname
15.3.16.	ufi	12.2	samoan	ufi	igname
15.3.16.	ufi	12.3	raroton	uQi	igname
15.3.16.	ufi	12.4	hawai	uhi	igname
16.12.15.	ihu	17.1	tongien	ihu	nez
16.13.15.	isu	17.1	tongien	ihu	nez
16.13.15.	isu	17.2	samoan	isu	nez
16.13.15.	isu	17.4	hawai	ihu	nez
16.3.15.	ifu	17.4	hawai	ihu	nez
16.5.14.	ika	16.1	tongien	ika	poisson
16.5.14.	ika	16.2	samoan	iQa	poisson
16.5.14.	ika	16.3	raroton	ika	poisson
16.5.14.	ika	16.4	hawai	iQa	poisson
17.7.17.	oNo	34.1	tongien	oNo	entendre
2.15.1.14.7.16.17.	putaNio	17.3	raroton	putaNio	nez
2.15.12.16.	puhi	2.1	tongien	puhi	souffler
2.15.13.16.	pusi	2.1	tongien	puhi	souffler
2.15.13.16.	pusi	2.3	raroton	puQi	souffler
2.15.13.16.	pusi	2.4	hawai	puhi	souffler
2.15.3.16.	pufi	2.3	raroton	puQi	souffler
2.15.3.16.	pufi	2.4	hawai	puhi	souffler
2.16.1.17.	pito	1.1	tongien	pito	nombril
2.16.1.17.	pito	1.3	raroton	pito	nombril
2.16.1.17.	pito	1.4	hawai	piko	nombril
2.17.5.17.	poko	11.4	hawai	poQo	tⓒte
3.14.14.	faa	14.1	tongien	faa	quatre
3.14.14.	faa	14.2	samoan	faa	quatre
3.14.14.	faa	14.3	raroton	Qaa	quatre
3.14.14.	faa	14.4	hawai	haa	quatre
3.14.15.	fau	18.3	raroton	Qau	rosẹ
3.14.15.	fau	18.4	hawai	hau	rosẹ
3.14.5.14.7.14.	fakaNa	26.2	samoan	faQaNa	se calmer
3.16.5.14.	fika	19.3	raroton	Qika	faire du feu 
3.16.5.14.	fika	19.4	hawai	hiQa	faire du feu 
3.16.5.15.	fiku	20.3	raroton	Qiku	queue
3.16.5.15.	fiku	20.4	hawai	hiQu	queue
3.18.15.10.14.	feura	2.2	samoan	feula	souffler
3.18.15.11.14.	feula	2.2	samoan	feula	souffler
3.18.5.18.	feke	15.1	tongien	feke	poulpe
3.18.5.18.	feke	15.2	samoan	feQe	poulpe
3.18.5.18.	feke	15.3	raroton	Qeke	poulpe
3.18.5.18.	feke	15.4	hawai	heQe	poulpe
4.14.18.	vae	31.2	samoan	vae	jambe
4.14.18.	vae	31.3	raroton	vae	jambe
4.14.18.	vae	31.4	hawai	wae	jambe
4.14.5.14.	vaka	30.1	tongien	vaka	bateau
4.14.5.14.	vaka	30.2	samoan	vaQa	bateau
4.14.5.14.	vaka	30.3	raroton	vaka	bateau
4.14.5.14.	vaka	30.4	hawai	waQa	bateau
4.14.6.18.	vaQe	31.1	tongien	vaQe	jambe
5.14.10.17.	karo	8.1	tongien	kalo	ṿiter
5.14.10.17.	karo	8.2	samoan	Qalo	ṿiter
5.14.10.17.	karo	8.3	raroton	karo	ṿiter
5.14.10.17.	karo	8.4	hawai	Qalo	ṿiter
5.14.11.17.	kalo	8.2	samoan	Qalo	ṿiter
5.14.11.17.	kalo	8.3	raroton	karo	ṿiter
5.14.11.17.	kalo	8.4	hawai	Qalo	ṿiter
5.14.13.14.	kasa	7.3	raroton	kaQa	fort
5.14.13.14.	kasa	7.4	hawai	Qaha	fort
5.14.3.14.	kafa	7.3	raroton	kaQa	fort
5.14.3.14.	kafa	7.4	hawai	Qaha	fort
6.14.12.15.	Qahu	10.1	tongien	Qahu	fiel
6.14.13.15.	Qasu	10.1	tongien	Qahu	fiel
6.15.10.15.	Quru	11.1	tongien	Qulu	tⓒte
6.15.3.16.	Qufi	12.1	tongien	Qufi	igname
7.14.10.15.	Naru	28.1	tongien	Nalu	vague
7.14.10.15.	Naru	28.2	samoan	Nalu	vague
7.14.10.15.	Naru	28.3	raroton	Naru	vague
7.14.10.15.	Naru	28.4	hawai	nalu	vague
7.14.11.15.	Nalu	28.2	samoan	Nalu	vague
7.14.11.15.	Nalu	28.3	raroton	Naru	vague
7.14.11.15.	Nalu	28.4	hawai	nalu	vague
7.14.14.	Naa	26.4	hawai	naa	se calmer
7.15.1.15.	Nutu	29.1	tongien	Nutu	bouche
7.15.1.15.	Nutu	29.2	samoan	Nutu	bouche
7.15.1.15.	Nutu	29.3	raroton	Nutu	bouche
7.15.1.15.	Nutu	29.4	hawai	nuku	bouche
7.17.13.17.	Noso	27.4	hawai	noho	demeurer
7.17.3.17.	Nofo	27.4	hawai	noho	demeurer
8.14.10.14.	mara	25.2	samoan	mala	ferment ̣
8.14.10.14.	mara	25.3	raroton	mara	ferment ̣
8.14.10.14.	mara	25.4	hawai	mala	ferment ̣
8.14.10.17.12.16.	marohi	7.1	tongien	malohi	fort
8.14.10.17.13.16.	marosi	7.1	tongien	malohi	fort
8.14.10.17.13.16.	marosi	7.2	samoan	malosi	fort
8.14.11.14.	mala	25.2	samoan	mala	ferment ̣
8.14.11.14.	mala	25.3	raroton	mara	ferment ̣
8.14.11.14.	mala	25.4	hawai	mala	ferment ̣
8.14.11.17.13.16.	malosi	7.2	samoan	malosi	fort
8.14.14.	maa	25.1	tongien	maa	ferment ̣
8.14.15.	mau	24.2	samoan	mau	rṣistant
8.14.15.	mau	24.3	raroton	mau	rṣistant
8.14.15.	mau	24.4	hawai	mau	rṣistant
8.14.6.15.	maQu	24.1	tongien	maQu	rṣistant
8.14.7.14.	maNa	23.1	tongien	maNa	branche
8.14.7.14.	maNa	23.2	samoan	maNa	branche
8.14.7.14.	maNa	23.3	raroton	maNa	branche
8.14.7.14.	maNa	23.4	hawai	mana	branche
8.14.9.14.	mana	23.4	hawai	mana	branche
8.14.9.16.9.16.14.	maninia	26.3	raroton	maninia	se calmer
9.14.10.15.	naru	28.4	hawai	nalu	vague
9.14.11.15.	nalu	28.4	hawai	nalu	vague
9.14.14.	naa	26.4	hawai	naa	se calmer
9.14.6.14.	naQa	26.1	tongien	naQa	se calmer
9.15.1.15.	nutu	29.4	hawai	nuku	bouche
9.17.13.17.	noso	27.3	raroton	noQo	demeurer
9.17.13.17.	noso	27.4	hawai	noho	demeurer
9.17.3.17.	nofo	27.1	tongien	nofo	demeurer
9.17.3.17.	nofo	27.2	samoan	nofo	demeurer
9.17.3.17.	nofo	27.3	raroton	noQo	demeurer
9.17.3.17.	nofo	27.4	hawai	noho	demeurer
