1.14.12.16.	tahi	6.1	tongien	tahi	mer
1.14.13.14.	tasa	3.3	raroton	taQa	c·t ̣
1.14.13.14.	tasa	3.4	hawai	kaha	c·t ̣
1.14.13.16.	tasi	6.1	tongien	tahi	mer
1.14.16.	tai	6.2	samoan	tai	mer
1.14.16.	tai	6.3	raroton	tai	mer
1.14.16.	tai	6.4	hawai	kai	mer
1.14.18.	tae	4.2	samoan	tae	crotte
1.14.18.	tae	4.3	raroton	tae	crotte
1.14.18.	tae	4.4	hawai	kae	crotte
1.14.2.15.	tapu	0.1	tongien	tapu	interdit
1.14.2.15.	tapu	0.2	samoan	tapu	interdit
1.14.2.15.	tapu	0.3	raroton	tapu	interdit
1.14.2.15.	tapu	0.4	hawai	kapu	interdit
1.14.3.14.	tafa	3.2	samoan	tafa	c·t ̣
1.14.3.14.	tafa	3.3	raroton	taQa	c·t ̣
1.14.3.14.	tafa	3.4	hawai	kaha	c·t ̣
1.14.3.15.14.3.16.	tafuafi	19.1	tongien	tafuafi	faire du feu 
1.14.6.18.	taQe	4.1	tongien	taQe	crotte
1.14.7.14.1.14.	taNata	5.1	tongien	taNata	homme
1.14.7.14.1.14.	taNata	5.2	samoan	taNata	homme
1.14.7.14.1.14.	taNata	5.3	raroton	taNata	homme
1.14.7.14.1.14.	taNata	5.4	hawai	kanaka	homme
1.14.9.14.1.14.	tanata	5.4	hawai	kanaka	homme
1.17.8.17.	tomo	22.4	hawai	komo	pṇṭrer
10.14.12.17.	raho	32.1	tongien	laho	testicules
10.14.13.17.	raso	32.1	tongien	laho	testicules
10.14.13.17.	raso	32.2	samoan	laso	testicules
10.14.13.17.	raso	32.3	raroton	raQo	testicules
10.14.13.17.	raso	32.4	hawai	laho	testicules
10.14.3.17.	rafo	32.3	raroton	raQo	testicules
10.14.3.17.	rafo	32.4	hawai	laho	testicules
10.17.12.15.	rohu	33.1	tongien	lohu	gaule ˇ fruit
10.17.13.15.	rosu	33.1	tongien	lohu	gaule ˇ fruit
10.17.15.	rou	33.2	samoan	lou	gaule ˇ fruit
10.17.15.	rou	33.3	raroton	rou	gaule ˇ fruit
10.17.15.	rou	33.4	hawai	lou	gaule ˇ fruit
10.17.7.17.	roNo	34.2	samoan	loNo	entendre
10.17.7.17.	roNo	34.3	raroton	roNo	entendre
10.17.7.17.	roNo	34.4	hawai	lono	entendre
10.17.9.17.	rono	34.4	hawai	lono	entendre
11.14.13.17.	laso	32.2	samoan	laso	testicules
11.14.13.17.	laso	32.3	raroton	raQo	testicules
11.14.13.17.	laso	32.4	hawai	laho	testicules
11.14.3.17.	lafo	32.3	raroton	raQo	testicules
