N	Gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
121.363	Steal	ªko	ªkhui	££xhÙo	££hyuq	££xhÙo	ÁÁtjhi	ÁÁkhi	£Áxu	ªkho
33.306	Stick			°°tjhy	££cil	°°tjhy	°°tjhi
34.138	Still	ªse	ªse	ÁÁshi	££siiq	ÁÁshy	ÁÁshi	ÁÁshi	ªÁsi
286.196	Stone	ñk+lok	¼klok, ¼kyok	ÁÁxha-££lo	££havq ££luv	ÁÁxha-££luq	££lo	££lú		(ªsŒ/ªso) ¢loÖ
87.79	Strength	ªra	ªÖa	ÁÁ©a	££hhaq	££xha	ÁÁko	ÁÁk¿		ªko
312.474	Strong	îkak	¼khak	££xaq	££hav	££xha	££kha	££kha	££xa	£kha
215.240	Study	Ámdza³		££dz¿	££zzol	°°dzo	°°tu		°°tsÒu
62.16	Sunshine	Átsa		°°tsha	££cal	°°tsha	°°tsha	°°tsha		¢n ¤tho / ¢ø ¤tûho
143.235	Sweat	ªÖ+krwe	ªkhrwe	ÁÁkh¿	££koq	ÁÁkhú		ÁÁkhi		¢³ ¤khi
125.348	Sweet	Ákyo	Ákhyui	££tjhÙo	££qul	££tjhÙu	°°tjhy	°°tjhy		°tûhi
7.248	Tail	ªÖ+mri	ªmri	ÁÁmi	££miq	ÁÁmi	ÁÁmi	ÁÁmi		ªm ¢pŒ
28.297	Tasty			°°khy	££keel	°°khy
58.223	Teach	ªs+ma		ÁÁmä	££meiq	ÁÁmä			£Ámä
4.129	Tear (eye)			°°bi	££bbil		°°pi	°°pi		¢m ¤pi
41.175	Ten	Átsay	Áchay	°°tshe	££ceil	°°tshe	°°tshy	°°tshy		¤thú
99.157	Thick	îtu	Áthu	°°thu	££tul	°°thu	°°thu			°thu
53.53	Thin	ªba	ªpa	ÁÁba	££bbaq	ÁÁba	ÁÁpo	ÁÁp¿		Ápo
202.414	Thousand	ÁÖ+to³	ªtho³	°°tha³	££taol	°°th¿
160.399	Three	ªsum	ªsum	°°shm	££saol	ÁÁsh¿	ÁÁsjhi	ÁÁsjhi		¤si³
184.179	Thunder	ªgyan	(ªkhyan)	ÁÁdje	££jjiq	ÁÁdji	ÁÁtsy	ÁÁtsy		ª³ ªtûe
86.75	Tiger	ªk+la	ªkya	ÁÁxha+ÁÁla	££haqlaq	ÁÁxha ÁÁla	ÁÁlo	ÁÁl¿		ªlo
94.	Tongue	ÁÖ+lya,ÁÖ+la	Áhlya	°°la	££lal	°°hla				ªÖŒ ¤lo
152.336	Tooth	ªswa	ªswa	ÁÁshú	££seq	ÁÁshú	££tsy	££tsy		ªÖŒ ªso / ¤tû·
138.292	Trough			ÁÁl¿	££loq	ÁÁlo	ÁÁlu	ÁÁlu
427.487	Turbid			££diq	££ddiv	££diq	££ti,°°ti	££tiq
627.	Twist	ñs+yÙok		ÁÁjúq				£Áïú	ÁjaÖ
12.122	Two	ñs+nik,ªs+ni	Áhnac	ÁÁnji/ÁÁnjiq	££niq	ÁÁnji	ÁÁnje	ÁÁnje		ªøi /ªøiÖ
308.457	Upside	îtak	¼thak	££taq	££dav	££taq	££tha	££tha		ªtha
161.400	Use	ªïum	ªsum	ÁÁzm	££ssaoq	°°¿	ÁÁmu	°°mi
241.552	Want	ñmap/î		ÁÁm¿q	££movq	ÁÁmo	ÁÁmu
162.401	Warm	Álum	Álum	°°lm	££laol	°°hl¿	°°xhu	°°lu		°li³
122.110	Wash	ªklo	ªkhyui	ÁÁtshi	££ciiq	ÁÁtshy,ÁÁtjhi	ÁÁtjhy	ÁÁtjhy,ÁÁtsy		Áthi
239.497	Water			ÁÁtjuq	££juvq	ÁÁtjuq	ÁÁtsh¿	ÁÁtjhy?	££tsi	°tûhoÖ
158.385	Wear	Ámdum	(Áta³)	££dm	££ddao	££dú	££ti	££ti	ªÁto	£ti³
236.513	Wear hat	îÖup,îkup	¼Öup	££xoq	££huv	££xuq	££kho	££khú		£khoÖ
320.477	Weave	ñrak	¼rak	ÁÁzaq	££hhavq	ÁÁ©aq	(ÁÁts¿)	ÁÁjaq	£Ája
97.165	White	Áplu	Áphru	°°pjhu	££piul	°°phu	°°pjhu	°°phfu	°°f§v	(°pŒ³)
108.172	Who	ÁÖúsu	Ásu	°°shu	££sol	°°shu		°°sjhu		°sú
618.98	Wife	ªmúya	ªmaÖya	££mi+ÁÁza	££miq ££ssaq	ÁÁmi	ÁÁjo			¢mo
402.	Wild boar		(Áwak ªsui)	ÁÁthe	££teil/ÁÁthe	ÁÁthy		ÁÁthy
36.232	Wind	Ále	Ále	°°lä	££leil	°°li,°°hli	°°sjhi	°°li		¤li
65.26	Wind			ÁÁdja	££jjaq		ÁÁtsa	ÁÁts¿
203.416	Wing	Ádo³	Áto³	°°da³	££ddaol	°°d¿	°°tu	°°tu		¤tu³
90.95	Winnow	ÁÖ+wa	(£hle)	°°za	££hhal	°°©a	°°xho	°°ja		°wo
218.246	Word	ªda³		ÁÁd¿	££ddoq	ÁÁdo	ÁÁtu	ÁÁtu	ªÁtÒu
159.372	Work	ÁÖum	Ámu	°°m	££aol	°°¿	°°mi	°°mi	(££ni)	°Öu³
282.517	Year	ñkok	(¼hnac)	ÁÁxoq	££huvq	££xuq	££kho	££khú	£Áx§v	¤khoÖ
147.320	Yellow	Ásrwe	Áhrwe	°°sjhy	££sil	°°sjhy	°°sy	°°sy	°°Æ·	¤s·
221.251	You	Ána³	Ána³	°°n¿	££nol	°°no	°°n¿	°°nu	°°n§v	¤no³
