3	jaw
3	important
3	hurt
3	hill
3	high
3	help
3	heavy
3	head
3	hard
3	handle
3	half moon
3	hair
3	groan
3	greet
3	grease
3	go out
3	gnaw
3	give back
3	germinate
3	gendre
3	gather up
3	fur
3	fry
3	frost
3	friendly
3	freeze
3	fragrant
3	foie
3	flower
3	fine
3	fight (animals)
3	fight
3	field
3	feuille
3	feu
3	festival
3	fer
3	fence
3	feel at ease
3	farine
3	false
3	fall over
3	fall off
3	fall
3	fade
3	experienced
3	estomac
3	entendre
3	enfler
3	enemy
3	elder
3	drive away
3	draw
3	dos
3	dormir
3	doorway
3	doigt
3	dix
3	divide
3	dieu
3	deux
3	dent
3	damp
3	cultivate
3	cuisse
3	crawl
3	cow shed
3	covering
3	couvrir
3	count
3	coude
3	cou
3	corps
3	corde
3	copper
3	cooked rice
3	compare
3	collide
3	coiffer
3	close
3	cliff
3	choke (with liquids)
3	chirp
3	cheval
3	chat
3	chase
3	chant
3	chair
3	cendres
3	cela
3	cave
3	cattle
3	broom
3	broad
3	break
3	brain
3	bouche
3	born, be
3	book
3	bon marché
3	boil (water)
3	boil (food)
3	body
3	blow (with mouth)
3	bloom
3	blood vessel
3	bière
3	bitter
3	beurre
3	beside
3	bench
3	bellow (bull)
3	behind
3	begin
3	beat (heart)
3	bear
3	beam
3	be late
3	be drunk
3	bark (v.)
3	bargain
3	bamboo
3	bague
3	back
3	aïl
3	assemble
3	arrow point
3	arrive
3	around
3	arbre
3	answer
3	allow
3	all
3	1 roupie
3	(plural)
2	être enceinte
2	être en bonne santé
2	être
2	étoile
2	étirer qqch.
2	épouse
2	épaule
2	épais (liquide)
2	égrener
2	égal
2	écrire
2	écouter
2	échanger
2	you (two)
2	yonder
2	yolk
2	year before last
2	yaourt
2	yack hybride
2	yack femelle
2	wrinkle (n.)
2	wrestle
2	wrap around head
2	wrap (things)
2	worship (v.)
2	work
2	woman/female
2	woman
2	withdraw/go down (price)
2	with/together/along with
2	with
2	wipe off
2	wipe
2	winnow (small quantities)
2	window
2	wind up
2	width (horizontal)
2	why/for what reason
2	whistle
2	whirlwind
2	where
2	wheat flour
2	wet
2	well
2	weigh/measure
2	weep
2	web
2	weave/knit
2	weave
2	wear/put on
2	wear out (iron utensils)
2	wean
2	way/road
2	waxing moon
2	wash away, to erode
2	warm
2	war/warfare
2	waning moon
2	walk lame
2	wake up, to get up
2	vêtement
2	vulture
2	vomit (v.)
2	vomissement
2	vivre
2	vingt
2	vieille femme
2	vieil homme
2	viande
2	very
2	vert
2	verser
2	ventre
2	venir
2	veine
2	vapeur
2	vanner
2	vallée
2	vaisselle
2	vacciner
2	vacant/empty
2	urinate
2	unit
2	under
2	unclean/impure, become
2	un peu
2	two-thirds
2	twisted
2	twig
2	twenty-two
2	tusk/fang
2	turn to
2	tuer
2	très
2	true
2	trou
2	trois
2	trier
2	tremble (in trance)
2	tremble
2	treize
2	tread
2	traire
2	town
2	tousser
2	toucher
2	torn, become
2	torn, be
2	tool
2	tomorrow
2	toilet
2	toi, tu
2	tired, be
2	time (first, second...)
2	tighten
2	tight
2	tie up (laces)
2	thunder strike
2	thunder (v.)
2	thrust/dab
2	throw/cast
2	throw away
2	throat
2	thou
2	this (one)
2	this
2	thing
2	thin
2	these (ones)
2	these
2	that place/over there
2	that (two)
2	that
2	tether (animal)
2	terrible
2	terrain en pente
2	terrace wall
2	tell
2	teach
2	tax
2	taste/flavor
2	taste/eat sample
2	taste
2	tambour
2	take out (of box)
2	take out
2	take off (stove)
2	sûrir
2	swing (on swing)
2	swell/rise
2	suspendre
2	sunset
2	sunrise
2	suffire
2	sufficient, be
2	succeed (in attempt)
2	stuck, get
2	string (beads)
2	strike/pierce
2	strike/beat/hit
2	strength
2	strangle
2	strain
2	straight
2	stout (man)
2	stout
2	stop/hold up
2	stop/give up
2	stop (v.t.)
2	stoop /bend down
2	sting
2	sticky
2	stick
2	steam
2	stay without sleep
2	statue
2	starve/hungry, be
2	stain
2	stagger
2	square
2	sprain (limb)
2	spoon
2	spit (v.)
2	spirit/mind/soul
2	spindle
2	spinach
2	spin thread
2	sparrow
