id	level	type	proto	context	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
63		I	hɲ		ȵ̥h	ɕ	ȵ̥	ȵ	ȵ̥	ȵ̥,ȵ̥w	ŋ̥ŋ,n	ȵ̥,ȵ	ȵ	ȵ̥,n̥,ȵ	ȵ,n
64		I	j		ʑ	ʑ	j	ʑ	ʑ,w	j,ŋkl,ȵ	j,ȵ	j,jw	j	hj,wj,j,ȵ	dzj,dz
65		I	k		k	k	k	k	k	kj	k	k	k	k,kw	k
66		I	kh		ʨh		kh	k	kh			kh	k	khw,kh	k
67		I	khj		tɕh	ɕ	kh	k	kh	ʃ	ŋ,ŋk	ɕ	s,tθ	h	k
68		I	khl		kh	c	k	k	k	khj	k	k,kh	kj	kl,khl	ts
69		I	kj		tɕ	ɲc,tɕ	k	k	tɕ,k	tʃ,tʃw	tɕ,k	ʨ,tɕ,tɕw,ʨj	ȶ,s	kj,ȶ,tɕ	k
70		I	kl		k	c,k,ɴq	k	tɕ,k	tɕ,k	kj,tʃ	k	k,kj,tɕ,kw	tj,kj,k	khl,kl,kj	k,ts
71		I	klj									k	k	klj	
72		I	kr		ȶ	ʈ,ȶ	ʈ	ʂ,ʈ	tʂ,ʂ	ts,tʃ,tʂ	tɕ	kj,kw	kj	kl	t
73		I	kʷj		ʨ	k		ʨ	ʨ	tʃ	k	ʨw	s	ȶw,hwj	ts,k
74		I	kʷl									kw	gw	kl	k
75		I	l		l,l̥	l	l	l	l	l	l,lɦ,lj	l,lw	l	l,lw	l,n
76		I	lj		ȴ	ȴ	l	ɭ	l	l,lj	l	g,l,gw	g	lj,lw	lj,dzj,l
77		I	m		m	m	n,m	m	m	m	m	mw,m	m,nj,ŋw	m	m
78		I	mb		m	m	mp	mp	mp,mpz		ph	bw,bj	b,bj	b,bj	b
79		I	mbj		m		nts	mpj	mp	pj	m	b,bj	b		p
80		I	mbl		n,ȵ	n,mj	mpl	mpl	mpl,mʔpl	mpl	mj,w	bl,b,bj,blw	bl,bj,b	bl	bj,b
81		I	mblj		z	mj	nts	mpj	mpz,mpj	mpl	m	bj	bj	bj	dzj
82		I	mbr		z	mʐ	ɳtʂ	mpʐ	mpj,mp	mpj,mpw	mj	bj,p,bl	bj	bl	bj,b
83		I	mj		m		n	m	m	m	m	mw	m,ŋw	m,mj	m,mj
84		I	ml		m	n	m	n	mj	m	m	mw	ŋw	m	m
85		I	mn		n	n	n	n	n	nw,n	m	n	n	n̥	n
86		I	mp		p	mp	mp	mp	mʔp,mʔpz	mp	m	b,bw	b,v	b	bj,b
87		I	mph		ph	mph	mph		mʔph	mph	m̥,m̥j	bw	v,b	bj	bj
88		I	mphj		ph	mph	ntsh	mpj	mʔphj	ph	ph				
89		I	mphl				mphl			mʔphl					
90		I	mpj		p	mp	nts	mp	mʔp	mp	m	bw	v	bj	bj
91		I	mpl					mp	mʔpl			bj	bl	bj	
92		I	mplj		p		nts	mpj	mʔpl						
93		I	mpr		z	mʐ	ɳtʂ	mpʐ	mʔpj		mj,m				
94		I	n		n	n	n	ȵ,n	n,ȵ	n	n	n	n	n	n
95		I	nd		n	n	nt	nt	nt	t,nt	n,mj	d	d,n	dw,d	d
96		I	ndj									ʥ		ȡ	
97		I	ndr		ȵ	ɳ,ȵ	ɳʈ,ɳ	ɳʈ	ɳtʂ,ɳʈ,ŋk	ɳtʃ,ɳtʂ	mj,ɳtʃ	dʑ	ȡ	d	
98		I	ndz			s	nts	nts	nts		ɳtʃ	nʑ,d	d,dð	dz	d
99		I	ndzj				ɳtʂ								
100		I	nm		m	m	m	m	m	m,ŋ̥ŋ	m,n	m	n	m	m
101		I	nt		t,n	nt	nt	nt	nʔt	nt,ð,ntw,t	n,t	d	d	d	d
102		I	nth		th	nth	nth	nt	nʔth						
103		I	nthj								ȵ̥	ʥ	ȡ	ȡ	dz
104		I	nthr		ȶh	ɳʈh	ɳʈh	ɳʈ	ɳʔtʂh	ɳtʃw	ȵ̥				
105		I	ntj		t	nt	nt		nʔt	ntw	ȵ	ʨw,dj	s,gj	ȶ,dj	ts,dj
106		I	ntr		ȶ	ɳʈ,ɳʈh	ɳʈ	ɳʈ	ɳʔtʂ		ȵtɕy	t	t	t	
107		I	nts		s	nts	nts	nts	nʔts	ɳtʃ	ȵ	dj,d	gj,d	dj,dz	d
108		I	ntsh		sh	ntsh	ntsh	nts	nʔtsh	ɳtʃ,θ	ȵ	d	d	dz	d
