id	gloss	PHM	class	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
1	to know	*-pei	(12/17)	pu1		pau1	pɔ1a		pe1	pɪ1	pei1	pei1	pəi1	bɛi1			
2	molar tooth	*-pæ	(5)		pa2	pua1								ba1			
3	full	*-pu̯ɛŋX	(22)	pɛ3	pe3	pu3	poŋ3a	paŋB	paŋ3	pɔ̃3	pwəŋ3	pɔŋ3	pɔŋ3	baŋ3			
4	to shoot	*-pənX	(21)	paŋ3	pɑŋ3	pɔ3	poŋ3a	poŋB	poŋ3	pɔ̃3	pwan3	fan3		bun3			
5	to sleep/lie down	*-pu̯eiH	(8)	pi5	pə5	pɯ5	pu5a	puC	pau5	pɛ5	pwei5’	fei5		bui5			
6	1pl (we/us)	*-N-pɔu	(3)	pi1	pɯ1	pe1	pæ1a	peiA	pa1	pɯ5		pu1		bu1			
7	husband	*-N-poX	(7)		po3								bu3				
8	soybean	*-N-peiX	(12/17)	pu3		pau3						bei3	bi3	mɛi3			
9	百 hundred	*-pæk	(5)	pa5	pa5	pua5	pa5a	piC	pa5	pe5	pɛ7	pe7	pɛ7	ba7			
10	to fall	*-pʉŋA	(30)			pɔŋ1	paŋ1a	poŋA									
11	to feed	*-pɛŋA	(22)	pɛ1		pu1											
12	thigh	*-pæA	(5)	pa1	pa1	pua1	pa1a			pe1							
13	to open (door)	*-powD	(13)	pu7	pu7			poD		pɔ7							
14	風 air	*-poŋC	(28)	poŋ5		pa5	paŋ5a	poŋC									
15	to burn	*-pɔuB	(3)								pu3	pu3	pau3	bu3			
16	鞭 whip	*-pinA	(18)								biŋ1	pin1	pin1				
17	斧 axe	*-pouB	(13)								pou3	pɔu3	bəu3	pu3			
18	(Cant. /pɛːŋ5/) to hide oneself 	*-piŋC	(18)								piːŋ5		pjɛ5	bɔŋ5			
19	放 to let go	*-puŋC	(21)								puŋ5’	puŋ5	pə5	bɔŋ5			
20	片 clf-quilts	*-phəan	(21)	phaŋ1		phɔ1		phoŋA		phɯ5	phaːn1		phəu1				
21	劈 to split/chop	*-phek	(2)	pha1	pha1	tshi1		phoA			phi7						
22	破 to cut open	*-phajH	(15)	pha5	pha5	phua5	pa5b	phaC	pha5	pha5	phaːi5	paːi5’	pha5				
23	to push earth aside	*-phʉA	(8)	phɛ1		phua1	pou1b		phau1	phɪ1							
24	thunder	*-S-phoA	(7)	ho1	so1	sɔ1	so1b	suA	xu1	(mo1)							
25	thread	*-S-phoB	(7)	fhə3	so3	sɔ3	so3b	suB		(mo3)							
26	to twist/rub	*-S-phu̯aA	(15)	fha1	 	sua1	sa1b	saA	va1’								
27	奉 to carry in 2 hands	*-phu̯ɛŋB	(22)								phwəŋ3	pɔŋ3	phɔŋ3				
28	拂 to sweep	*-phu̯ətD	(7)								phut7						
29	flower	*-bi̯aŋ	(24)	paŋ2	pei2	pa2	pua2	venA	pen2	pɛ2	pwaŋ2	faŋ2	pjaŋ2	pjaŋ2			
30	to see	*-bu̯ət	(7)	poŋ8		pɔ8	po8	mpuD	pu8	pa8	pwat8	fat8	phi8				
31	伏 to hatch/embrace	*-buəH	(16)	pə6		pua6	pəa6	vaC	pu6	po6	pu6	pu6	pu6	pu6			
32	female/woman	*-boA	(7)			pɔ2		vuA									
33	to repay	*-bu̯eiA	(12/17)		pə2	pi2	pau2	pɔ2	vuA								
34	face	*-bowB	(13)				pɯ4										
35	mountain	*-bæwB	(3)	pi4		pe8	pe4	veiB									
36	bracelet	*-bɔC	(6)		pɔ6	pau6	po6	vuC		po6							
37	pus	*-bu̯eiC	(12/17)		pu6	pɔ6	pau6	po6	vuB	pei6	pɪ6						
38	shoulder	*-bʉC	(8)		pə6	pɯ6		vuC									
39	腐 bad/spoiled	*-bu̯aB	(15)	pa4	pɑ4	pua4	pəa4	vuB									
40	to hold w/2 hands	*-bouA	(13)								pou2	pɔu2					
41	平 level	*-beŋA	(29)								pɛŋ2	peːŋ2	pɛ2	pɛŋ2			
42	耙 to rake	*-baA	(4)								pa2	pa2		pa2			
43	薄 thin	*-bi̯ɛkD	(1)								pwa8	fa6		pjɛ8			
44	白 white	*-bækD	(5)								pɛ8	pe6	phɛ8	pa8			
45	hand/arm	*-bɔuX	(3)	pi4	tɯ4	te4	ʂe4	weiB	tʃa4	tɛ-pɯ4	pu4	pu4	pau4	pu4			
46	thorn	*-boB	(7)	pə4	to4	pɔ4	pɯ4	vuB									
47	thunder	*-mpuə	(16)							mo1	bu1	bu5		bjau1			
48	to dream	*-mpeiH	(12/17)	pu5	mpei5	mpau5	mpɔ5a	mʔpuC	mpe5	mi5	bei5	bei5	bəi5	bɛi5			
49	name	*-mpɔuH	(3)	pi5	mpu5	mpe5	mpæ5a	mʔpeiC	mpa5	mo5	bu5’	bu5	bau5	bu5			
50	沸 to boil (intr)	*-mpu̯eiH	(12/17)			mpau5	mpɔ5a	mʔpuC	mpei5	mɪ5	bwei5’	vei5		bui5			
51	to hold in mouth	*-mpæB	(5)			mpua3	mpa3a	mʔpziB									
52	pig	*-mpæC	(5)	pa5	mpa5	mpua5	mpa5a	mʔpeiC	mpei5	me5							
53	to throw on (clothes)	*-mpu̯aC	(15)	pa5		mpua5	mpa5a			ma5							
54	loud/sound	*-ʔbujA	(9)								bui1	buːi1’	bəi1	bai1			
55	bat (animal)	*-ʔbujA	(9)								bui1	buːi1’	bəi1	bai1			
56	monkey	*-ʔbiŋA	(18)								biŋ1	biːŋ1		bjaŋ1			
57	grey	*-ʔbɔuB	(3)								bu2	bu3	bau3				
58	rock	*-ʔbeŋC	(29)								bɛŋ5'		bɛ5	bɛŋ5			
59	報 to tell	*-ʔboC	(7)								bu5'	bu5	bu5	bɔu3			
60	chaff/husk	*-mphi̯ɛk	(1)							m̥e5	bwa7	va7’	bja7	bjɛ7			
61	噴 to scatter/sprinkle	*-mphu̯ənH	(29)		mphu5	mphɔŋ5		mʔphoŋC			bwan5	ban5					
62	ant	*-mphæB	(5)	phen3	mpha3				mphai3	m̥je3							
63	拍 to clap	*-bhækD	(5)								bɛ7	be4	bɛ7				
64	to cover	*-mboC	(7)	mə6		mpɔ6	mpu6	mpuC		pho5							
65	拍 to clap	*-mbæA	(5)	ma2	ma2	mpua2	mpa2	mpziA									
66	婦 daughter-in-law/bride	*-mbu̯ɛŋB	(22)								bwəŋ4	bɔŋ4	bɔŋ4				
67	浮 to float	*-mbi̯̯əuA	(1)								bjeu2	bjɔu2	bjau2	bɛu2			
68	illness/pain	*-ʔmun	(27)	moŋ1	moŋ1	mɔ1	məŋ1a	ʔmoŋA	mɐŋ1	mæ̃1	mun1	mun1	mən1	man1			
69	to grasp	*-ʔmu̯ɛA	(11)	mɛ1	me1	mua1	muɑ1a										
70	green/blue	*-ʔmeŋA	(29)								mɛŋ1	meːŋ1	mɛ1	mɛŋ1			
71	to grasp H	*-ʔmu̯ɛA (<*ʔ-mɛj)		mɛ1	me1	mua1	muɑ1a										
72	to have HM	*-n-mɛj		mɛ2	me2	mua2		maA	mɔ2	mɪ̃2	maːi2	naːi2	ma2				
73	flea	*-hmiəŋ	(23)	m̥hen1		hm̥ɔ1	mɔŋ1b	m̥enA	mɔ1	n̩1	mɛŋ1	muŋ1’	m̥au1	mɔŋ1			
