id	gloss	PHM	class	Qiandong	Xiangxi	WhiteHmong	Masha	Luopohe	Jiongnai	Baiyun	Luoxiang	Mun	BiaoMin	ZaoMin
74	vine	*-hmein	(25)		ɕi1	hm̥a1	ma1b	m̥oŋA	m̥e1’	m̥a1	m̥ei1	mei1’	m̥əi1	mɛi1			
75	to taste/try	*-hmeiH	(12/17)	m̥hu5									m̥i5				
76	night	*-hməŋH	(21)	m̥haŋ5	m̥hɑŋ5	hm̥ɔ5	mɔ5b	m̥oŋC		mæ̃4	m̥aŋ3		m̥ɔŋ5	mɔŋ5			
77	Hmong	*-hmʉŋA	(30)	m̥hu1	ɕoŋ1	hm̥ɔŋ1	maŋ1b	m̥joA		ŋ̥ŋ1							
78	wild dog	*-hmaŋC	(24)	m̥hɑŋ5		hm̥a5	ma5b										
79	animal fat/oil	*-hmejA	(10)								m̥ei1	mei1’	m̥əi1	mi1			
80	面 face	*-hmienA (C)									mjen1	min1’	m̥in1	mɛn1			
81	米 husked rice	*-hmeiB	(12/17)								m̥ei3	mei3	m̥i3	mɛi3			
82	2sg (you)	*-mu̯ei	(8)	moŋ2	mɯ2				mɐŋ2	mɯ6	mwei2	mei2	məi2	mui2			
83	2pl (you)	*-mi̯əu	(1)	maŋ2	me2	ne2	mein2	menA		mɯ5		njou2					
84	fine (flour)	*-mənX/H	(21)	moŋ4	mɑŋ4	mɔ4				mæ̃4	mwən6		mun6	mun6			
85	eye	*-mu̯ɛjH	(11)	mɛ6	me6	mua6	moŋ6	maC	mɔ6	mɪ̃6	mwei6	ŋwei6	mi6 	mai2			
86	to have	*-n-mɛj	(11)	mɛ2	me2	mua2		maA	mɔ2	mɪ̃2	maːi2	naːi2	ma2				
87	to go	*-n-mʉŋ(X)	(30)	moŋ4	moŋ4	mu4	məŋ4	muB	ŋ̥ŋ4	nɪ̃2	miŋ2	niŋ2		mi2			
88	買 to buy	*-mɛjX	(11)	mɛ4		mua4		maB	mɔ1	mɪ̃6	maːi4	maːi4		mai4			
89	賣 to sell	*-mɛjH	(11)	mɛ4	me6	mua6	moŋ6	maC	mɔ4	mɪ̃6	maːi6	maːi6	ma6	mai6			
90	蠓 fly (n.)	*-məuŋX	(21)		mɑŋ4	mɔ4	moŋ4	moŋB	mɐŋ4	mæ̃4			mə4	mɔŋ4			
91	望 to look at	*-maŋH	(24)									ŋwaːŋ6	mə6	mɔŋ6			
92	persimmon	*-minB	(18)	mi4	mɛ4			menB									
93	wheat	*-muŋC	(27)	maŋ4		mɔ6	məŋ6	muC									
94	female	*-minD	(18)	mi8		nia8	mi8	menC	mai8	mɛ̃7							
95	bee	*-mu̯eiB	(8)								mwei4	ŋwei4	mi4	mui4			
96	brother	*-mɔuB	(3)								mai4		mau4	mu4			
97	carrying pole	*-mu̯əŋB	(29)								moŋ5	muŋ4	mɔŋ4				
98	to return home	*-muB	(16)								mu4	mu4	mu4	mu4			
99	thick/dense	*-makD	(4)								ma8	ma6		mɔu8			
100	霧 fog	*-mowC	(16)								mou6			mu6			
101	廟 temple	*-miuC (A)									miu6	miu6		miu6			
102	son-in-law	*-ʔweiX	(12/17)			vau3	wɔ3a	ʔwuB	ve3	vi3	vei3			vɛi3			
103	冠 crest/comb	*-ʔwi̯æn	(1)			ʔi1		ʔweA						vɔn1			
104	cherry	*-ʔwaA	(4)	va1	wɑ1		ʑi1a										
105	winnowing fan	*-ʔwaŋA	(24)	vaŋ1	wei1	va1	wua1a	ʔwenA	ven1	vɛ1							
106	to cover self	*-ʔwoB	(7)			vɔ3	wo3a	ʔwuB		va3							
107	wife	*-ʔwæwB	(3)	vi3		vi3			va3	vo3							
108	that	*-ʔweB	(10)								wa3	va3	wə3	vɛi3			
109	碗 bowl	*-ʔwənB (D)									van3	van3	wan3	vjɛn3			
110	抉 to dig	*-ʔwetD	(10)								vet7	veːt7’	wun7	vɛt7			
111	園 garden	*-hwunA	(27)								hun1	vin1’	hun1	von1			
112	sky/heaven	*-wɛŋ	(22)	vɛ2						vɔ̃2				vaŋ2			
113	芋 taro	*-wouH	(13)	vu6	wə6	vaɯ6	wɯ6	woC	vau6	vɔ6	hou6	hɔu6		vu6			
114	1sg (I/me)	*-wɛŋB	(22)	vi4	we4				va4	vɔ̃4							
115	園 garden	*-waŋA	(24)	vaŋ2		va2	wua2		vi2	ɦje2							
116	萬 ten thousand	*-wi̯aŋC	(26)	vaŋ6		va8	waŋ6	waŋC									
117	皇 yellow	*-wi̯əŋA	(24)								waŋ2	vaŋ2	waŋ2	vjaŋ2			
118	three	*-pjɔu	(3)	pi1	pu1	pe1	pæ1a	pziA	pa1	po1	pu1	pu1	pau1	bu5			
119	bedbug	*-pji	(1)						pi1	pɪ5	pi1	pi1	pi1	bɛi1			
120	father/male	*-pjaX	(4)	pa3	pɑ3	tsi3	pi3a	paB	pe3	pa7	pwa3	fa3					
121	fruit	*-pji̯əuX	(1)	tsen3	pi3	tsi3	pei3a	pzeB	pi3	pje3	pjeu3	pjɔu3	pjau3	bɛu3			
122	crop of bird	*-pjinB	(18)	pi3		tsia5	pjein5a	puB	pai3	pẽ1							
123	to bear fruit	*-pjiC	(1)	tsen5		tsi5	pei5a	pzeC									
124	wooden basin	*-pjatD	(4)								pwat7						
125	to burn (tr)	*-phjæwB	(3)	phi3					v̥a3	pho3							
126	half	*-phjeC	(10)				pje7b	phjeC									
127	chaff/husk	*-S-phjæC	(5)	fha5	sa5	sua5	sa5b	siB	v̥ei5	(m̥e5)							
128	to enter	*-bju̯ɛk	(9)	pə6	pɔ5				pɔ6	pɯ6	pja8		phja8	pjɛ8			
129	補 to repair/mend	*-mpjaX	(4)	pu3	mpɑ3	ntsi3	mpi3a	mʔpaB	mpan3	ma3	bwa3	va3	bja3	bjɛ3			
130	daughter/girl	*-mphjeD	(10)	phi7	mphɑ7	ntshai7	mpje7b	mʔphjeD	phai7	phe7							
131	辮 to braid/a braid	*-mbjinX	(18)	mi4		ntsia4	mpjein4	mpen4	pjen6	ma1	bin4/bin5	bin4		pin4/bjɛn6			
132	young man	*-mbjauA	(5)								bjaːu2	baːu2					
133	footprint/track	*-hmjænX	(19)	m̥ha3		hn̥ɛŋ3	mein3a	m̥aB			m̥wan3	ŋwaːn3’	m̥jɛn3				
134	tooth	*-hmjinX	(18)	m̥hi3	ɕɛ3	hn̥ia3	mi3b	m̥jenB	m̥ai3	mɪ̃3			mjen3				
135	to sniff at	*-hmji̯əmH	(18)	m̥hi5		hn̥ia5	mi5b	m̥jenC	m̥ai5	mi5	hom5	hɔːm5’	m̥ja5				
136	grass	*-hmjaB	(4)								m̥wa3	wa3	m̥ja3	mjɛ3			
137	spirit/ghost	*-hmjænB	(19)								m̥wan3	ŋwaːn3	m̥jɛn3	mjɛn3			
138	horse	*-mjænB	(19)	ma4		nɛŋ4	mein4	maB	me4	mɪ̃4							
139	person/Mien	*-mjænA	(19)								mwan2	mun2	min2	min2			
140	wife of mother’s brother	*-mjəŋA	(29)								mwaŋ2	ŋwaŋ2	mjaŋ2	mjaŋ2			
141	cooking pot/pan	*-wjinB	(18)	vi4	wɛ4	jia4	ʑein4	wenB	van4	vɪ̃4							
142	four	*-plei	(12/17)	l̥u1	pʐei1	plau1	plɔ1a	plouA	ple1	pi1	pje1	pjei1	pləi1	pɛi5			
143	stomach	*-plaŋA	(24)			pla1											
144	flour	*-plu̯eiB	(12/17)					plɔ5a	plouB								
145	owl	*-ploŋD	(28)	l̥ioŋ5		pla7											
146	to bury	*-plopD	(9)								plop7	plɔp7					
147	shell/covering	*-phlei	(12/17)	l̥hu7		phlau1		phlauC						fɔu1			
148	cheek/face	*-phl-C (xx)			phɑ5	phlu5											
149	to stroke	*-phlʉC	(8)	l̥hɛ5	phʐə5	phlɯ7	plou5b	phluC									
150	to stroke	*-phlunA	(27)								phjun1		phlən1				
151	to play (flute)	*-phlu̯əmB	(29)								pwəm3	pjɔm3					
152	forehead	*-bl-A (xx)				plia2					pɔŋ2	plɔŋ2	plə4	paŋ2			
153	mussel/clam	*-blinC	(18)	l̥iə6	pɹɛ4	plia6											
154	butterfly	*-mpleuH	(2)				mpei5a	mʔpleC			bjeu5’	blɔu5’	bja4				
155	blind	*-ʔblɔuB	(3)								bu3	bu4					
156	twin	*-mpljeA	(10)	pi1		ntsai1	mpje1a	mʔpleA									
157	finger ring	*-mphleA	(10)			mphlai1			mʔphleA								
158	rice plant/paddy	*-mbləu	(3)	na2	nɯ2	mple2	mplæ2		mpla2	mjo2	blau2	blau2	blau2	bjau2			
159	smooth/glossy	*-mbli̯əŋH	(18)		mjɛ6	mpla6	mplein6	mplenC		wɪ̃6		bjaŋ6					
160	glutinous/sticky	*-mblut	(9)	nə8	nu8	mplau8	mplu8	mploD			but8	blut8	blun8	bit8			
161	tongue	*-mblet	(10)	ȵi8	mjɑ8	mplai6	mple8	mpleD	mpli8	mje8	bjet8	bjet8	blin8	bɛt8			
162	leaf	*-mblɔŋA	(29)	nə2	nu2	mplɔŋ2	mplaŋ2	mploŋA	mplɔŋ2	mjɔ̃2							
163	whip	*-mblowD	(13)			mplaɯ8	mplə8	mʔploD									
164	to shed leaves/drop	*-mblu̯eiC	(8)								blwei6	blei6					
165	rain	*-mbluŋC	(28)								bluŋ6	buŋ6	blə6	biŋ6			
166	fan	*-mbljæp	(5)	zen8	mjɑ7	ntsua8	mpja8	mpziD	mpli8	mi8	bjap8	bjaːp8	bjɛn8	dzjɛp8			
167	crazy	*-mbljɔŋA	(29)				mpjaŋ2	mpzoŋA									
168	to have food w/rice	*-mbljæC	(5)			ntsua6	mpje6	mpjiC									
169	soft	*-mlu̯ɛjH	(11)	mɛ6	ne6	mua6	noŋ6	mjaC	mɔ6	mɪ̃6	mwei6	ŋwei6	mi6	mai6			
170	hair	*-prei	(12/17)	ȴ̥u1	pi1	plau1	pɭɔ1a	plouA	ple1	pi1	pje1	pjei1	pli1	pɛi1			
171	heart	*-prowB	(13)	ȴ̥u3		plaɯ3	pɭə3b	ploB									
172	wildcat	*-prɨD	(2)	ȴ̥aŋ7		pli7	pɭei5a	pleC									
173	five	*-prja	(4)	tsa1	pʐɑ1	tʂi1	pʐɪ1a	pjaA	pui1	pja1	pla1	pja1	pla1	pjɛ5			
174	house	*-prjəuX	(3)	tsɛ3	pʐɯ3	tʂe3	pʐæ3a	peiB	pja3	pjo3	pjau3	pjau3	pla3	pju3			
175	stick	*-prjaX	(4)		pʐɑ3					pja3	pla3	pja3					
176	to sow	*-prjæwA	(3)		pʐo1	tʂe1	pʐæ1a	pjiA									
177	to winnow	*-prjɔŋB	(29)		pʐu3	tʂɔŋ3	pʐaŋ3b	pjoŋB	pjɔŋ3								
178	to pour	*-prjaC	(4)	tsɑ5	pʐa5	tʂi5											
179	to wring	*-prjoC	(7)		pʐo5		pʐo5a	pjuC		pja5							
180	dark	*-prjuwD	(9)	tsə7	pʐu7	tʂau7	pʐu7a	pjoD	pjɔu7								
181	head	*-S-phrjeiX	(12/17)	fhu3	pʐei3	hau3	wɔ5b	huB		pɦi3’	pje3	pjei3	pli3	pɛi3			
182	to blow	*-phrjuA	(16)	tsho1	phʐo1	tʂhua1	pʐa1b	phjaA	phu1	phjo1							
183	to play (flute)	*-phrjoC	(7)			tʂhɔ3	pʐo3b										
184	tree	*-S-phrjuA	(16)	fhu3			wa1b										
185	soul/spirit	*-braA	(4)	ȴ̥u2	pjə2	pli6	pɭɪ6	vloA		pjɔ2							
186	noose/trap	*-brjiB	(1)			tʂi4											
187	rat	*-brju̯aC	(15)			tʂua6	pʐəa6	vjaB									
188	green/blue	*-mpruA	(16)	zo2	mʐo1	ɳtʂua1	mpʐa1a	mʔpjaA		mjo1							
189	lung	*-mprʉC	(8)	zɛ6	mʐə5	ɳtʂɯ7	mpʐou5a	mʔpjuC		mɔ5							
190	ear	*-mbræu	(3)	zɛ2	mʐɯ2	ɳtʂe2	mpʐæ2	mpjiA	mpja2	mjo2			blau2	bju2			
191	fish	*-mbrəuX	(3)	zɛ4	mʐɯ4	ɳtʂe4	mpʐe4	mpjiB	mpja4	mjo4	bjau4	bjau4	bla4	bju4			
192	bamboo shoot/orphan	*-mbrəjH	(15)	za6	mʐɑ6	ɳtʂua6	mpʐəa6	mpjaC	mpja6	mje6	bje6	bjai6	blai6	bɛi6			
193	nose	*-mbruiH	(8)	zɛ6	mʐə6	ɳtʂɯ6	mpʐu6	mpjuC	mpjau6	mjɔ6	pa6		bli6				
194	spicy	*-mbrat	(4)	za8	mʐei8	ɳtʂi8	mpʐɪ8	mpjaD	mpwai8	mje8	blaːt8	bjat8	blan8	bjɛt8			
195	to groan/moan	*-mbraŋA	(24)	zaŋ2	mʐei2	ɳtʂa2	mpʐua2	mpenA	mpwen2								
196	ant	*-mbrɔD	(6)			ɳtʂau8	mpʐɔ8	mpjuD									
197	to listen	*-(S-)mru̯ɔŋH	(29)			mlɔŋ6	mʐəŋ6			mæ̃5	moŋ5	muŋ5’	m̥ɔŋ5	maŋ5			
198	to answer	*-tau	(3)	ta1	tɯ1	te1	tæ1a	tiA	ta1	no1		tau1		du1			
199	son/boy	*-tu̯ɛn	(22)	tɛ1	te1	tu1	toŋ1a	taŋA		tɔ̃1		tɔːn1	twan1	dan1			
200	body louse	*-tɛmX	(22)	tɛ3	te3	tu3	toŋ3a	taŋB	taŋ3	nɔ̃3	tam3	tam3	dan3	dam3			
201	rib	*-tamX	(24)	taŋ3		ta3	tua3a	tenB				taːm3					
202	tail	*-tu̯eiX	(8)	tɛ3	tə3	tɯ5	tou3a	tuB	ðau3	tɛ3	twei3	tei3	dwai3	dui3			
203	to kill	*-təjH	(15)	ta5	tɑ5	tua5	ta5a		ta5	ta5	tai5'	tai5	tai5	dai5			
204	to snap	*-tɛŋH	(22)	tɛ5	te5	tu5	toŋ5a	taŋC	taŋ5	tɔ̃5			taŋ5	daŋ5			
205	earth	*-N-təu	(3)	ta1	tɯ1	te1	tæ1a	tiA	ta1	to1	dau1						
206	deep	*-N-tu̯o	(7)	to1	to1	tɔ1	to1a	tuA	ðu1	to1	do1	du1	du1				
207	skin	*-N-top	(13)	tu3	tə3	taɯ3	tə3a	toB			dup7	dup7	din7	dip7			
208	wing	*-N-tat	(4)	ta7	tei7	ti7	ti7a	taD	ðe7	te7	daːt7	daːt7		dɔt7			
209	擣 to husk/pound rice	*-tuX	(16)	to3		tua3	ta3a	taB	tu3	to3		tau3	tau3				
210	得 to get/gain	*-təuk	(6)	tɛ5	tɔ5	tau5	tɔ5a	tuC	tei5	tɯ5	tu7	tu7	tu7				
211	thick	*-tæA	(5)	ta1	ta1	tua1	ta1a	tiA	tei1	te1							
212	gourd	*-tuwA	(9)		tɔ1	tau1	tu1a	toA									
213	skirt	*-tinA	(18)	tei1	tɛ1	tia1	tæin1a	tenA	ðai1	tĩ1							
214	to hold/grasp hand	*-tæB	(5)			tua3	ta3a	tiB									
215	frost	*-tæwC	(3)	ta5	tɯ5	te5	tæ5a	tiC	ða5	no5							
216	axe	*-tu̯eiC	(12/17)	to5	tɔ5	tau7	tɔ5a	tuC	ðei5	ti5							
217	foot	*-towC	(13)	tu5	tə5	taɯ5	tə5a	toC									
218	to ignite/light	*-towD	(13)	tu7		taɯ7	te7a	toD									
219	to pick up/clamp	*-teD	(10)		tɑ7	tai7	te7a	teD		næ̃6							
220	酒 liquor	*-tiuB (A)									tiu3	tiu3	tiu3	diu3			
221	碓 tilt-hammer/pestle	*-tu̯ɔiC	(11)								tɔi5’	tɔːi5	twai5	dui5			
222	凳 stool/bench	*-təŋC	(22)								taŋ5’	taŋ5	taŋ5	daŋ5			
223	桶 bucket	*-thɔŋ(X)	(29)			thɔŋ1		thoŋA		thɔ̃7	thoŋ3	tɔŋ3	dɔŋ3	tuŋ5			
224	炭 charcoal	*-thanH	(19)	thɛ5	the5	thɛŋ5	tæin5b	thaŋC	thɔu3	thæ̃5	thaːn5	taːn5’	than5	tan3			
225	to boil (tr)	*-thoA	(7)	tho1			to1b	thuA		 							
226	bellows	*-thoŋB	(28)	thoŋ3	thɑŋ3		thaŋ3b	thoŋB		tho3							
227	hoop	*-thɨC	(2)	tha5		thi5	tei5b	theC									
228	elder brother	*-da	(4)	ta2		ti2	ti2	ðaA				ta2					
229	to come	*-daj	(15)	ta2		tua2	ta2	ðaA		te2	taːi2	taːi 2	ta2	tɛi2			
230	fire	*-douX	(13)	tu4	tə4	taɯ4	tɯ4	ðoB	tau4	tɤ4	tou4	tɔu4	təu4	tu4			
231	to explode	*-douH	(13)	tu6	tə6	taɯ6	tɯ6	ðoC		tɤ6		tɔ6					
232	to die	*-dəjH	(15)	ta6	tɑ6	tua6	təa6	ðaC	ta6	te6	tai6	tai6	tai6	tai6			
233	tortoise	*-duH	(16)								to6	tu6					
234	to bite	*-dəp	(7)	tə8	to8	tɔ8	to8	ðuD		ta8	tap8	tap8	than8				
235	to put on/wear (shoes)	*-dap	(7)						tei8		taːp8	taːp8					
236	half (of day)	*-N-dam(X)	(24)	taŋ4		ta4					daːm2	daːm2					
237	蹄 hoof	*-dej	(10)						tei2		tei2	tei2	təi2	tɛi2			
238	銅 copper	*-dɔŋ	(29)	tə2	toŋ2	tɔŋ2	taŋ2	ðoŋA	twaŋ2	tɔ̃2	toŋ2	tɔŋ2	tɔŋ2	tuŋ2			
239	荅 bean	*-dup	(9)	tə8		tau8	tu8	noD	tɔ8	tɯ8	top8	tɔp8	thən8	tup8			
240	level	*-dinA	(18)			tia2	tæin2										
241	to sink	*-dəŋA	(21)	taŋ2		tɔ6	toŋ6	toŋA		tæ̃4							
242	bowl	*-deB	(10)			tai4	te4			ta4							
243	clf-horses	*-dɛŋB	(22)	tɛ4		tu4	toŋ4	ðaŋB									
244	to wait	*-dəŋB	(21)	taŋ4	tɑŋ4	tɔ4	toŋ4	ðoŋB		te4							
245	which	*-dʉC	(8)	tei6		tɯ6	tu6	ðuB		ti1							
246	蹋 to step on/tread	*-dæD	(5)	ten8	tɑ8	tua8	ti8										
247	to soak	*-doA	(7)								tu2		ta2	tɔu2			
248	to put on/wear (jewelry)	*-dəŋA	(22)								taŋ2	taŋ2					
249	back (of body)	*-danB	(19)								tan4	tan4					
250	pig	*-duŋB	(28)								tuŋ4	tuŋ4	twə4	tiŋ4			
251	頹 to fall (of rain)	*-dujA	(9)								tui2		tui2				
252	袋 bag	*-diC	(1)								ti6	ti6	ti6				
253	地 non-irrigated land	*-dejC	(10)								tei6	tei6	təi6	ti6			
254	fragrant	*-ntaŋ	(24)						nten1	nɛ1	daːŋ1	daːŋ1	daŋ1	dɔŋ1			
255	wet	*-ntu̯ɛn	(22)		nte1	ntu1	ntoŋ1a	nʔtaŋA	ntaŋ1	tɔ̃4		dɔːn1					
256	cloth	*-ntei	(12/17)		ntei1	ntau1	ntɔ1a	nʔtuA	nte1	ni1	di1		di1	dɛi1			
257	long	*-ntauX	(3)	ta3	ntɯ3	nte3	ntæ3a	nʔtiB	ða3	to3	daːu3	daːu3	da3	du3			
258	to chop	*-ntəwX	(7)	to3		ntɔ3	nto3a	nʔtuB	ntu3	no3			dau3	dau3			
259	to flip with finger	*-ntik	(2)			nti3	ntei5a		ntai5	na5	dit7						
260	to warm self by fire	*-ntauH	(3)	ta5	ntɯ5	nte5	ntæ5a	nʔtiC	nta5	no5		daːu5	dau5	du5			
261	to put on/wear (cap)	*-ntɔŋH	(29)	tə5	ntu5	ntɔŋ5	ntaŋ5a	nʔtoŋC	ntwaŋ5	no5	doŋ5’	dɔŋ5	dɔŋ5	dɔŋ5			
262	to weave	*-ntət	(7)	to7	nto7	ntɔ7			ntu7	na7	dat7	dat7	dan7	dat7			
263	navel	*-ntəut	(13)	tu7	ntu7	ntaɯ7	ntə7a	nʔtoD	ntu7		dut7	duːt7’	din7				
264	擔 to carry on shoulder	*-ntam	(24)						tã1	tæ̃5	daːm1	daːm1	da1	dɔm1			
265	to float	*-ntaŋA	(24)		nten1	nta1											
266	finger	*-ntaB	(4)	ta3	ntɑ3	nti3	nti3a	nʔtaB									
267	paper	*-ntowB	(13)	tu3	ntə3	ntaɯ3	ntə3a	nʔtoB	ntau3	nɔ3							
268	many/much	*-ntɔC	(6)	nɛ5		ntau5	ntɔ5a	nʔtuC	ntei5								
269	to beat (someone)	*-ntuwD	(9)			ntau7	ntu7a			ta7							
270	deaf	*-ʔduŋA	(21) 									duŋ1	dwə1	dɔŋ1			
271	to ladle	*-ʔdəmB	(22) 								dam3			da3			
