# id,P-N.Vanuatu,Loc in etymon,,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera'a,Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
1,*,,,,hiw,ltg,lhi,lyp,vlw,mtp,lmg,vra,vrs,msn,mta,num,drg,kro,olr,lkn,mrl
2,ᵐbʷ,,,,kʷ,kʷ,kʷ,k​͡pʷ,ᵑg​͡bʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,kʷ
3,ᵐbʷ,,,,kʷ,kʷ,k,ŋ,ŋ​͡mʷ,k​͡pʷ,k,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k​͡pʷ,k
4,ᵐb,,,,k|kʷ,kʷ,kʷ,k​͡pʷ|ŋ,ᵑg​͡bʷ|ŋ​͡mʷ,k​͡pʷ,p,ᵐb|m,ᵐb|m,p,p,ᵐb|m,ᵐb,ᵐb|m,p,p,ᵐb|m
6,ᵐb,,,,p,p,p,p,ᵐb|m,ᵐb|m,p,ᵐb|m,ᵐb|m,p,p,ᵐb|m,ᵐb|m,ᵐb|m,p,p,ᵐb|m
8,ⁿd,,,,t,t̻,ⁿd|n,ⁿd|n,ⁿd|n,ⁿd|n,t,ⁿd|n,ⁿd|n,n,n,ⁿd|n,ⁿd|n,ⁿd|n,ʧ,ʧ,ⁿd|n
10,ᵑg,,,,k,k,k,k|ŋ,ᵑg|ŋ,k,k,k,k,k,k,k,k,k,k,k,k
12,β,,,,β,β,β|p,β|p,β|p,β|p,β,f|β,β,ɸ|β,β,f|β,β,β,β,β,f|β|p
15,t,,,,t,t|s,t,ʧ|t,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t|s,t
17,s,,,,s|t,h,s|h,s,s|h,s|h,s,s,s,s,s,s,s,s,s,s|h,s
18,ɣ,,,,ɣ,ɣ,ɣ|∅,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ|ː,ɣ,ɣ
20,mʷ,,,,ŋʷ,ŋʷ,ŋʷ|ŋ,ŋ​͡mʷ|ŋ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋ​͡mʷ,ŋʷ|ŋ
22,m,,,,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
23,n,,,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
24,ŋ,,,,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ,ŋ
25,r,,,,ᶢʟ,r,j,j,j,j,r,r,r,r,r,r,r,r,r,r|ː,r
27,l,,,,j,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l
29,w,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
30,p,,,,w,w,β|w,β|w,β|w,β|w,f|β|w,f|β|w,β|w,β|w,β|f|w,β|f|w,β|w,β|w,β|w,β|w,f|β|w
32,k,,,,ɣ|w,ɣ,ɣ|w|∅,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w,ɣ|w|ː,ɣ|w,ɣ|w
38,e,,,,ɪ,e,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ,e,ɪ,ɪ,ɪ,ɪ,ɪ,ɪ
40,e,,,,e,e|ɛ,æ,ɛ,ɛ,ɛ,æ,ɛ|i,i​͡a|ɪ,ɛ,e,ɛ,ɛ,ɛ,ɛ,ɛ,ɪ
