#id,P-N.Vanuatu,Loc in etymon,Loc in new σ,,Hiw,Lo-Toga,Lehali,Löyöp,Volow,Mwotlap,Lemerig,Vera'a,Vurës,Mwesen,Mota,Nume,Dorig,Koro,Olrat,Lakon,Mwerlap
,*,,,,hiw,ltg,lhi,lyp,vlw,mtp,lmg,vra,vrs,msn,mta,num,drg,kro,olr,lkn,mrl
1,ᵐbʷ,ˈ_V(C)V,onset,C,kʷ,kʷ,kʷ,k͡pʷ,ᵑg͡bʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,kʷ
2,ᵐbʷ,ˈ(C)V_V,coda,c,kʷ,kʷ,k,ŋ,ŋ͡mʷ,k͡pʷ,k,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k͡pʷ,k
3,ᵐb,ˈ_o/u,onset,"C
",k|kʷ,kʷ,kʷ,k͡pʷ,ᵑg͡bʷ,k͡pʷ,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
4,ᵐb,ˈ_o/u,coda,C,kʷ,kʷ,k,ŋ,ŋ͡mʷ,k͡pʷ,p,m,m,p,p,m,ᵐb,m,p,p,m
5,ᵐb,ˈ_V(C)V,onset,C,p,p,p,p,ᵐb,ᵐb,p,ᵐb,ᵐb,p,p,ᵐb,ᵐb,ᵐb,p,p,ᵐb
6,ᵐb,ˈ(C)V_V,coda,c,p,p,p,p,m,m,p,m,m,p,p,m,ᵐb,m,p,p,m
7,ⁿd,ˈ_V(C)V,onset,C,t,t̻,ⁿd,ⁿd,ⁿd,ⁿd,t,ⁿd,ⁿd,n,n,ⁿd,ⁿd,ⁿd,ʧ,ʧ,ⁿd
8,ⁿd,ˈ(C)V_V,coda,c,t,t,n,n,n,n,t,n,n,n,n,n,ⁿd,n,ʧ,ʧ,n
9,ᵑg,ˈ_V(C)V,onset,C,k,k,k,k,ᵑg,k,k,k,k,k,k,k,k,k,k,k,k
10,ᵑg,ˈ(C)V_V,coda,c,k,k,k,ŋ,ŋ,k,k,k,k,k,k,k,k,k,k,k,k
11,β,ˈ_V(C)V,onset,C,β,β,β,β,β,β,β,f|β,β,β,β,f|β,β,β,β,β,f|β
12,β,ˈ(C)V_V,coda,c,β,β,p,p,p,p,β,f,β,ɸ|β,β,β,β,β,β,β,p
13,t,_i,,"C,c",t,s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,s,t
14,t,,_V[+front],"C,c",t,t|s,t,ʧ,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t|s,t
15,t,_a/o/u,,"C,c",t,t,t,t,t,t,t|ʔ,t|ʔ,t,t,t,t,t,t,t,t,t
16,s,,,"C,c",s|t,h,s|h,s,s|h,s|h,s,s,s,s,s,s,s,s,s,s|h,s
17,ɣ,ˈ_V(C)V,onset,C,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ
18,ɣ,ˈ(C)V_V,coda,c,ɣ,ɣ,∅,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ɣ,ː,ɣ,ɣ
19,mʷ,ˈ_V(C)V,onset,C,ŋʷ,ŋʷ,ŋʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋʷ
20,mʷ,ˈ(C)V_V,coda,c,ŋ,ŋʷ,ŋ,ŋ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ͡mʷ,ŋ
