N	gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
267.563	A little	ᴸʔəʔ+cik		³³tjyq	³³ziv	¹¹tjhy	⁵⁵ji	³³tsyq		¹tɕiʔ
124.346	Able			³³tjhö	³³kyul	³³khü, ⁵⁵tjhɔ	¹¹tjhe	¹¹khe
233.494	Afraid		(⁰khrok, ⁰krok)	³³guq	³³gguv	³³guq	⁵⁵tjhi	⁵⁵khi
255.527	Alive	ᴸdat		¹¹dɛq	³³ddeivq	³³dɛq	¹¹tjɛ	¹¹tjɛq	³¹ti	²ʔɑ ᴹ-¹teʔ
485.	Animal			¹¹dje	³³zzeiq		¹¹tji	¹¹tji
208.438	Area			¹¹xhaŋ	³³haoq	¹¹xhɔ	¹¹khɔ
296.571	Arrive			³³kəq	³³hev	³³xuq	³³khə	³³khə		³khɑʔ
61.44	Arrow	²mla	²hmra	¹¹mja	³³miaq	¹¹ma				²mjo
191.233	Ashes	(¹la)		⁵⁵lɛ	³³leil	⁵⁵lɛ	⁵⁵sjhi	⁵⁵li		²kho ⁶lo
72.36	Ask	¹ʔ+na		⁵⁵na	³³nal	⁵⁵na	⁵⁵na	⁵⁵na		⁶no
82.80	Ask for			⁵⁵sjha	³³sal	⁵⁵sha		⁵⁵sha
32.186	Bamboo strip	²s+ne	²hni	¹¹ne	³³niq	¹¹ni	¹¹ny	ᴸny
187.217	Base			¹¹phɛ	³³peiq	¹¹phɛ	¹¹phi	¹¹phi
206.417	Be a road			⁵⁵daŋ	³³ddaol	⁵⁵dɔ	⁵⁵thu	⁵⁵thu
131.265	Be born	³baw	¹paw	³³bɔ	³³bbo	³³bo
151.324	Be the case	¹ŋwa		⁵⁵ŋə	³³ngeel	⁵⁵ŋə	⁵⁵ŋy	⁵⁵ŋɛ	⁵⁵ŋɯ	⁵ŋə́
292.565	Bean	ᴴs+nök		³³nyq	³³neev	¹¹nyq			⁵⁵a ³³nə
172.390	Bear	¹k+d+wam	¹wa¹kwam	¹¹xha-⁵⁵hm	³³haoqaol	⁵⁵xha-ɔ	⁵⁵sjhi	⁵⁵ji		²ʔɑ ⁶ʔe
