N	gloss	PL	WB	Akha	HaniW	HaniL	Khatu	Pijo	Haoni	Mpi
274.577	Become	ᴸplek	⁰phrac, ⁰phlac	¹¹pjəq	³³bievq	¹¹pəq	¹¹pjhɔ	¹¹pjhɔ	ᴸphɔ	¹phjɑʔ
55.42	Bee	²bya	²pya	¹¹bja	³³bbiaq	¹¹dja	¹¹pjo	¹¹pɔ	³¹pɔ	²pho
21.319	Big	²ʔ+ri,²k+ri	²kri	¹¹hy	³³heeq	¹¹xhy	¹¹xhy	¹¹xhy	³¹xɯ	¹hɯ
27.296	Bile	¹ʔ+kre	¹khre	⁵⁵khy	³³keel	⁵⁵khy	⁵⁵tjhi	⁵⁵khi		⁶khi
276.544	Bite	ᴸkuk	(⁰kuik)	¹¹kɔq	³³govq	¹¹koq, ³³koq	(¹¹thɔ)	(¹¹thɔ)	³¹kho	(¹theʔ)
73.72	Bitter	²ka	²kha	¹¹xha	³³haq	¹¹xha	¹¹kho	¹¹khɔ	³¹xɔ	¹khɑ
311.460	Black	ᴴnak	⁰nak	³³naq	³³nav	⁵⁵na	³³na	³³na		³naŋʔ
146.136	Blood	²swe	²swe	¹¹sjhi	³³siivq	¹¹sjhy	¹¹sjhy	¹¹sjhy		²si
261.538	Blossom	ᴴk+wat	⁰wat	³³jɛq	³³yiev	³³jɛq,³³jɛ	³³jɛ	³³zɛ?
643.291	Boat	¹loŋ,¹ʔli	¹hle, ¹loŋ	¹¹lɔ	³³loq	¹¹hlu,¹¹lu	⁵⁵lu		²¹lu̯	²loŋ
305.453	Boil	ᴸʔ+gyak	⁰khyak, ⁰kyak	¹¹tjaq	³³javq	¹¹tjaq	¹¹tsha	³³tsha	³¹tʃha	¹tɕa
130.370	Bone	²ʃə-²ro	²ʔa ²ʔrui	¹¹sjha-⁵⁵jö	³³saq=yyuq	³³sjh ⁵⁵a-⁵⁵jö	¹¹a ⁵⁵ʒi	¹¹ɔ ⁵⁵ʒi		²ʔɑ ²ʔɯ
297.570	Box			³³kəq	³³ggev	⁵⁵khy	³³ɣə			(⁶he)
257.529	Braid			¹¹pjɛq	³³bievq	¹¹pɛq	¹¹pjhɛ
445.	Brain	C-ᴸnok	¹hnok	¹¹nmq		¹¹nɔq				⁴noʔ ⁴wo
646.481	Branch			¹¹laq	³³lavq	¹¹laq				²la
29.305	Brass	²gre	²kre	¹¹gy	³³ggeeq	¹¹gy			²¹kɯ	²ki
259.534	Break			¹¹xɛq	³³heivq	³³xɛq		¹¹khɔ		¹khəʔ
316.475	Breath	ᴸsak	⁰sak	¹¹saq	³³savq	¹¹sha	¹¹sha	¹¹saq	³²sa	²ʔɑ ²sa
166.380	Bridge	¹dzam		⁵⁵dzm	³³zzaol	⁵⁵dzɔ	⁵⁵tji	⁵⁵tji
80.188	Buffalo	²ŋya	(²nwa)	¹¹njo	³³niuq	¹¹njo	¹¹nu	¹¹ny		²mɑ ⁴naŋʔ
288.505	Build		⁰chok	³³tsoq	³³zuv	³³tsuq	³³tjho	³³tjhə,³³tjhy
219.247	Buttocks	¹daŋ		¹¹daŋ	³³ddaoq	¹¹dɔ	¹¹to	¹¹ta		²toŋ
45.337	Buy	¹way	¹way	⁵⁵zə	³³hhel	⁵⁵ɣə	⁵⁵vu	⁵⁵vy		⁵vɯ
226.279	Cabbage	²raŋ		¹¹ɣɔ	³³hhoq	¹¹ɣo	¹¹ku	¹¹ko		²ŋ ⁶kiŋ
106.146	Call on	¹ku	¹kho	⁵⁵khu	³³kul		⁵⁵khu	⁵⁵khy		⁵khu
107.147	Call out			⁵⁵gu	³³ggul	⁵⁵gu	⁵⁵ku	⁵⁵ku
5.130	Cat	¹mi		⁵⁵mi	³³mil	⁵⁵mi	⁵⁵mi	⁵⁵nji
244.525	Catch	ᴸɲap	⁰nyap						³¹nv̩
52.49	Cheek	²ba	²pa	¹¹ba	³³bbaq	¹¹ba	¹¹pɔ			²po ⁴po
91.193	Chew	g-²wa	²wa	¹¹ɣo	³³hhyuq	¹¹ɣo	¹¹ku	¹¹ku		¹ko
83.96	Child	²ʒa	²sa	¹¹za	³³ssaq	¹¹za,¹¹ja	¹¹ja	¹¹jɔ	³¹zɔ	²ʔɑ-²lo
2.125	Chilli	²pi		⁵⁵phi	³³pil	⁵⁵phi	⁵⁵phi	⁵⁵phi		⁶phi
140.280	Clean			⁵⁵sjhɔ	³³sol	⁵⁵sjho	⁵⁵shu	⁵⁵sjhu
198.407	Clear		¹krañ	⁵⁵gaŋ	³³ggaol	¹¹gɔ,⁵⁵gy
309.459	Climb up	ᴴʔ+dak	⁰tak	³³daq	³³ddav	³³daq	³³ta	³³ta		¹to
3.127	Close	²pi		¹¹phi	³³piq	¹¹phi	¹¹phi	¹¹phi		¹phi
49.46	Cloth	¹pa		⁵⁵pha	³³pal	⁵⁵pha	⁵⁵pho	⁵⁵pha		⁶pha
281.522	Cold	ᴸcok		(¹¹tsɛq)	(³³zeivq/¹¹tsɛq)	(¹¹tjhɛ)	(¹¹ti)		¹tɕhoʔ
315.448	Cold	ᴴgrak		³³gaq	³³ggav	³³gaq	³³tja	¹¹tjhy	³³ka	³kja
313.446	Comb/scratch		⁰khrak	³³kaq	³³gav	³³kaq	³³tjha	³³kha
85.104	Come	¹la	¹la	⁵⁵la	³³lal		⁵⁵lɔ?	⁵⁵la	⁵⁵lɔ	⁵lo
323.507	Come out	ᴴʔdwak	⁰thwak	³³doq	³³dduv	³³duq,⁵⁵du	⁵⁵to	⁵⁵tə	³³tu̯	³toʔ
303.449	Connect	ᴸʔ+dzak	⁰chak	¹¹tsaq	³³zavq	¹¹tsaq	¹¹tjho
222.276	Cooked rice	²haŋ	(²haŋ)	¹¹hɔ/¹¹xhɔ	³³hoq	¹¹xho	¹¹xhu	¹¹xhu		²hoŋ
104.162	Corn			³³du	³³ddu	³³du	³³tu	³³tu		⁴n ⁴tu
117.342	Cough	²tso		³³tshö	³³cyuq	¹¹tshy	¹¹tjhy	¹¹tjhy		¹thi
74.5	Crab	³ga/³kya	³ga	³³kha	³³ka	⁵⁵kha	⁵⁵khja	⁵⁵khɔ		²khi ⁴khja
284.515	Crooked	ᴸgok	⁰kok	¹¹xoq	³³hhuvq	¹¹u	¹¹koq	¹¹kəq		¹koʔ
127.341	Cry	¹ŋo	¹ŋui	⁵⁵ŋö	³³ngyul	⁵⁵ŋö	⁵⁵ni	⁵⁵nji		⁵wi
291.575	Cut	ᴴʔdök	⁰tok	³³dəq	³³ddev	³³dəq	³³tɔ	³³tɔ	³³tə	³thoʔ/³tɑʔ
144.300	Daughter-in-law	²krwe	²khrwe	¹¹khy	³³keeq/¹¹khy	¹¹tjhi	¹¹khi
31.422	Day	ʔ-³ne	³ne	³³naŋ	³³nao	³³nɔ	³³ni	³³ni	³³nv̩	⁴ɲi
210.267	Deaf	²baŋ	²paŋ	¹¹bɔ	³³bboq	¹¹bo	¹¹pu	¹¹pu		¹poŋ
310.461	Deep		⁰nak	¹¹naq	³³navq	³³naq	¹¹na	¹¹na		¹naŋʔ
317.478	Descend	ᴸʒak		¹¹zaq	³³ssavq	¹¹zaq			⁵⁵je
35.134	Die	²ʃe	¹se	⁵⁵sjhi	³³siil	⁵⁵shy	⁵⁵sjhy	⁵⁵sjhy		⁵si
103.163	Dig	²mdu	²tu	¹¹du	³³dduq	¹¹du	¹¹tu	(¹¹tshə)	³¹tv̩	¹tu
205.430	Dike			⁵⁵baŋ	³³bbaol	⁵⁵bɔ	⁵⁵py	⁵⁵pu
40.128	Divide	¹bay		⁵⁵bi	³³bbil	⁵⁵bɛ,⁵⁵bi	⁵⁵pi	⁵⁵py
142.299	Dog	²kwe	²khwe	¹¹khy	³³keeq	¹¹khy	¹¹khy	¹¹khy		²khɯ
66.29	Don't	²ta		¹¹tha	³³taq		¹¹tha	¹¹tha		²ʔɑ
220.245	Drink	¹mdaŋ		⁵⁵dɔ	³³ddol	⁵⁵do	⁵⁵tu	⁵⁵tu	⁵⁵tv̩	⁵toŋ/⁵tɑŋ
304.450	Drop	ᴴm+tsak	⁰ʔəcak	³³dzaq	³³zzav	³³dzaq		³³tsaq
252.539	Drunk	ᴸyet	⁰yac	¹¹jɛq	³³yevq	¹¹jɛq, ¹¹jɛ	¹¹jɛq			¹jeʔ
145.304	Dry	³gwe	³swe	³³gy	³³ggee	³³gy	³³ky	³³ky	³³kɯ	³kɯ
245.559	Dry in sun			¹¹lɔq	³³lovq	¹¹hloq	¹¹sjɛq	¹¹ljɛq
211.259	Ear	¹ʔbaŋ		⁵⁵bɔ	³³bbol	⁵⁵bo	⁵⁵pu	⁵⁵pu		²m ²pha
434.238	Ear	²C+na	²na	¹¹na	³³naq	¹¹na	¹¹na	¹¹no
139.281	Early  morning	²ʃaw	²saw	¹¹sjhɔ	³³soq/¹¹sjhɔ					⁴neʔ ²soŋ
25.131	Earth	¹ʔ+mre	¹mre	⁵⁵mi	³³mil	⁵⁵mi	⁵⁵mi	⁵⁵mi		²m ²pe
63.18	Earth	²tsa		¹¹tsha	³³caq	¹¹tsha	¹¹tshɔ	¹¹tjhɔ
64.22	Eat	²dza	²ca	¹¹dza	³³zzaq	¹¹dza	¹¹tsɔ	¹¹tsɔ	³¹tsɔ	¹tɕo
111.493	Egg	³u	³ʔu	³³uq	³³wuv	³³wu	³³vu	³³vu		⁴ʔuʔ
253.540	Eight	ᴸyet	⁰hrac	¹¹jɛq	³³xeivq	¹¹sjhɛ	¹¹sjɛq	¹¹hiɛq	³¹xɛ	²həʔ
102.150	El Br W			³³tshu	³³cu	³³tshu	³³tjhu	³³tjhu
266.561	Elbow	ᴸdzik		¹¹tsyq	³³zivq	¹¹tsəq	¹¹tshə	¹¹tshi
92.93	Elephant	³ʔ+ya		³³ja	³³ssa	³³ja	³³jɔ	³³jɔ		⁴jo
285.520	Enough	ᴸlok	⁰lok	¹¹loq	³³luvq	¹¹lu	¹¹lo	³³lv̩q		¹loʔ
50.45	Exchange	¹ʔ+pa		⁵⁵pha	³³pal	⁵⁵pha	⁵⁵phɔ	⁵⁵pha
380.	Extinguish			³³miq	³³miv	³³miq	³³mi	³³miq
302.468	Eye	ᴴmyak	⁰myak	³³mjaq	³³miav	³³mjaq	³³mja	³³maq
42.192	Fa El Si	²ʔəkay		¹¹xho	³³huq		¹¹khu		⁵⁵a ³¹xv̩
98.253	Face	²pyu		¹¹pjhɔ	³³pyuq	³³phö	¹¹phu	¹¹phy		(²phjoŋ ᴹ)
287.512	Fall			¹¹moq	³³muvq	³³muq	¹¹mo	¹¹myq
137.287	Fall over			⁵⁵lɔ	³³lol	⁵⁵lu	⁵⁵lu	⁵⁵lu
135.234	Fast	(¹m+gi)		⁵⁵khɔ	³³kol	⁵⁵kho	⁵⁵tshɔ	⁵⁵tsha
101.149	Fat	¹tsu	¹chu	⁵⁵tshu	³³cul	⁵⁵tshu	⁵⁵tjhu	⁵⁵tjhu		³thuʔ
171.	Fathom	¹lam	¹lam	⁵⁵lm	³³laol	⁵⁵lɔ
640.	Fathom	¹lam	¹lam	⁵⁵lm	³³laol	⁵⁵lɔ
165.377	Fence	¹kram	¹khram	⁵⁵khm	³³kaol	⁵⁵kha				⁴ŋ ⁶khiŋ
207.419	Field			⁵⁵daŋ	³³ddaol	⁵⁵dɔ	⁵⁵tu	⁵⁵tu
156.379	Fieldhut			⁵⁵tshm	³³qaol	⁵⁵tjhɔ,⁵⁵tsho	⁵⁵tjhi	⁵⁵tjhi
128.354	Finger	¹s+ɲo	²hñui	³³nö	³³nyul	³³njö	⁵⁵nji	⁵⁵nji		⁶ni /⁶ɲɯ
6.21	Fire	²mi	²mi	⁵⁵mi	³³miq	¹¹mi	¹¹mi	¹¹mi		²mi
77.14	Fish	²ŋa	²ŋa	¹¹ŋa	³³ngaq	¹¹ŋa	¹¹ŋo	¹¹ŋɔ		²ŋo
76.15	Five	²ŋa	²ŋa	¹¹ŋa	³³ngavq	¹¹ŋa	¹¹ŋuɔ	¹¹ŋɔ		²ŋo
120.364	Fog	²ko	²khui	³³xhö	³³hyuq	³³xhö	¹¹tjhi	¹¹khi
134.241	Fool			¹¹dzɔ	³³zzoq	¹¹dzo	¹¹tsɔ	¹¹tsɔ
26.295	Foot	¹kre	¹khre	⁵⁵khy	³³keel	⁵⁵khy	⁵⁵tjhi	⁵⁵khi		⁶khi
37.339	Four	²b+le	¹lê	³³ö	³³yuvq?	³³ö	¹¹li	¹¹li		⁶li
263.541	Free	ᴴk+lwat	⁰lwat, ⁰hlwat, ⁰klwat	³³lɛq	³³leiv/³³hlɛq	⁵⁵sjhi	³³leq	³³lo
51.47	Frog	²k+ʔ+pa	²pha	¹¹pha	³³paq	¹¹pha	¹¹pha	¹¹pha		²pho
19.140	Fruit	²si	¹si	¹¹shi	³³siiq	¹¹shy	¹¹shi	¹¹shi		²ʔɑ ²sɯ
109.174	Fry	¹ʔ+lu		⁵⁵lu	³³lul	⁵⁵hlu,⁵⁵lu		⁵⁵ly	⁵⁵l̥v̩	(⁵khoʔ)
57.58	Full			⁵⁵ma	³³mal	⁵⁵ma	⁵⁵ma	⁵⁵ma
193.425	Full	³mbliŋ	¹prañ	³³bjaŋ	³³bbiao	³³py	³³py	³³py	(⁵⁵mɔ)	²ʔɯʔ ³pjɯ
88.94	Get	³ra	³ra	³³ja	³³hha	³³ɣa	³³xho	³³jɔ	³³jɔ	³la/³ha
24.488	Give	²be	²pe	¹¹biq	³³bbivq	³³biq	¹¹pi	¹¹pi?		⁵pe
47.107	Go	¹ay		⁵⁵i	³³yil	⁵⁵ji	⁵⁵ji	⁵⁵ji	⁵⁵ji	⁵je
186.219	Goiter			⁵⁵bɛ	³³bbeil	⁵⁵bɛ	⁵⁵pi	⁵⁵pi
376.318	Good	¹ʔmin	¹mwan	¹¹my	³³meeq	¹¹my	³³mɔ	³³mɔ		¹mɯ
96.167	Gourd	(ʔə)²pu	²bhu	¹¹phu	³³puq	¹¹phu	¹¹phm	¹¹phfu		⁵tɕhoʔ ⁵phu
38.340	Grandson	(²m+)le	²mre	³³ö	³³yuq	³³ö	¹¹li	¹¹li
119.350	Green	¹ʔ+ɲo	¹nyui	³³njö	³³niul	³³njü	⁵⁵nji	⁵⁵nji		⁵ɲi
68.34	Guest			¹¹da	³³ddaq	¹¹da	¹¹ta	¹¹tɔ
197.403	Hair	¹kriŋ	¹khyañ, ¹khrañ	⁵⁵khaŋ	³³kaol	⁵⁵khɔ	⁵⁵khy	⁵⁵khy		⁴ŋ ⁶khɯ
336.499	Half	ᴴpak		³³paq				³³pha
318.482	Hand	ᴸlak	⁰lak	¹¹laq	³³lavq	¹¹laq	¹¹la	¹¹laq	³¹a ³¹la	²lɑ ⁶phu
519.	Hand			³³kɔq	³³gov	³³koq	³³khy	³³khy
306.454	Have(inan)			³³djaq	³³jjav	³³jaq	³³tsa	⁵⁵tsa ⁵⁵i		³tɕɑ
216.243	Have, exist	¹jaŋ		⁵⁵djɔ	³³jjol	⁵⁵djo	⁵⁵tsu	⁵⁵tju	³³tʃa	³tɕɑ
180.178	Hawk	(k)-¹dzwan	¹cwan	¹¹xha-⁵⁵dze	³³haqzzeil	¹¹xha-⁵⁵dzɛ	⁵⁵tji	⁵⁵tji		⁶te ⁴mo
112.143	Head	²u	¹ʔu	¹¹u	³³wuq	¹¹u	¹¹vu	¹¹vu
75.10	Hear	²gra	²kra	¹¹ga	³³ggaq	¹¹ga		¹¹kɔ	³¹kɔ	¹kjo
10.307	Heart	³ni		³³ny	³³nee	³³ny	³³nə	³³nə		⁴no
114.374	Heaven	²mo	²mui	¹¹m	³³aoq	¹¹ɔ	¹¹mi	¹¹mi		(²n ⁴thɑ ⁴lɑ)
93.90	Hillfield	¹r+ya	¹ra,¹rya	⁵⁵ja	³³yal	⁵⁵ja	³³xhɔ	⁵⁵ja?		⁶jo
118.343	Hinder			³³tshö	³³cyuq	¹¹shy	¹¹tshy	¹¹tjhy
9.124	Hit	²m+di	²ti	¹¹di	³³ddiq	¹¹di	¹¹ty	¹¹ty	³¹ti	¹tɯ
247.554	Hole			¹¹xɔq	³³hovq	¹¹xɔq	⁵⁵khu	⁵⁵khu
123.345	Horn	¹kro	¹¹khrui, ¹khyui	³³tjhö	³³kyul	³³khü	⁵⁵khy	⁵⁵khi		²ŋ ⁶khɯ
213.436	Horse	²mraŋ	²mraŋ	¹¹maŋ/¹¹mɔ	³³moq	¹¹mɔ	¹¹mju	¹¹mo		²mjuŋ
204.445	Hot	¹ʔloŋ		⁵⁵laŋ	³³laol			⁵⁵li?	⁵⁵l̥u	⁵luŋ
89.89	Hundred	¹ra	¹ra	⁵⁵ja	³³yal	⁵⁵sjha	⁵⁵sjhɔ	⁵⁵jɔ
262.533	Hungry	ᴸmwat	⁰mwat	¹¹mɛq	³³meivq	¹¹mɛq	¹¹mjɛq	¹¹mjɛq	³¹mi	¹meʔ/¹mjaʔ
149.311	Husks	ᴹpway	²phway	¹¹phy	³³peeq	¹¹phy	¹¹phy	¹¹phy		²phɯ
78.11	I	¹ŋa	¹ŋa	⁵⁵ŋa	³³ngal	⁵⁵ŋa	⁵⁵ŋuɔ	⁵⁵ŋa	⁵⁵ŋɔ	⁶ŋo
170.396	Iron	¹xam	¹sam	⁵⁵sjhm	³³saol	⁵⁵sjhɔ	⁵⁵sjhi	⁵⁵sjhi	⁵⁵ʃu	⁶siŋ
265.562	Itch	ᴴmtsik		³³dzyq	³³zziv	³³dzyq	³³tsəq	³³tsəq	³³tsɿ	³tɯʔ
289.506	Join			¹¹tsoq	³³zuvq		¹¹tjho	¹¹tjhə,¹¹tjhy
67.30	Keep	²ʔ+ta	²tha	¹¹tha	³³taq	¹¹tha		¹¹thɔ
256.536	Kill	ᴸsat	⁰sat	¹¹sɛq	³³seivq	¹¹sɛq	¹¹sjɛq	¹¹sjyq		¹səʔ
44.294	Laugh	¹ray	¹ray	⁵⁵y	³³eel	⁵⁵y	⁵⁵ɣy	⁵⁵sjhy		⁵ʔɯ ⁵si
153.334	Lead			¹¹sjhə	³³seq	¹¹sjhə	¹¹sjhy	¹¹shy
301.	Leaf	ᴸpak	⁰phak	¹¹paq	³³bavq	¹¹paq			⁵⁵a ²¹pha	²ʔa ²pha
79.13	Lend	²s+ŋa	²hŋa	¹¹ŋa	³³ngaq		¹¹ŋuɔ
270.321	Leopard	ᴸk+zik	⁰sac	¹¹xha+³zy	³³haqssiq	¹¹xha-³zy			³¹xa ³¹zɿ
81.84	Level	¹sa		⁵⁵sha	³³sal	⁵⁵sha			⁵⁵sɔ
185.227	Lice	¹xan	²san	⁵⁵sjhɛ	³³seil	⁵⁵shɛ	⁵⁵sjhi	⁵⁵sjhi		⁶se
319.578	Lick	ᴸm+lyak	⁰lyak	¹¹mjəq	³³mievq	³³myq	¹¹mjɔ	¹¹mɔq		¹mjɑŋʔ
16.113	Lift	²kyi	²khyi	¹¹tjhi	³³qiq	¹¹tjhi				¹tɕhi
246.543	Lines of  hand			³³kɔq	³³gov/³³koq	⁵⁵khy	⁵⁵khy
14.117	Liquor	¹ji	¹se	⁵⁵dji	³³zzil	⁵⁵dzy	⁵⁵tsy	⁵⁵tjy
54.56	Liquor			¹¹ba	³³bbaq	¹¹ba	¹¹po	¹¹pɔ		⁴tɑ ⁵phɯ
196.435	Long	¹mriŋ	¹hrañ	⁵⁵maŋ	³³mol	⁵⁵mɔ	⁵⁵mu	⁵⁵mu	⁵⁵mu	⁵sɯ
223.275	Look	³haŋ		³³hɔ/³³xhɔ	³³hu	³³fu	⁵⁵xhu
105.158	Look like			⁵⁵du	³³ddul	⁵⁵du	⁵⁵tu	⁵⁵tu
60.43	Many	²mya	²mya	¹¹mja	³³miaq	¹¹mja	¹¹mo,¹¹mjo	¹¹mɔ		¹mjo
132.254	Meal			⁵⁵bjɔ	³³bbiol	⁵⁵bo
84.81	Meat	²xa	²sa	¹¹sjha	³³saq	¹¹sha	⁵⁵tsa	¹¹sjhɔ		²ʔɑ ²so
30.302	Melt			⁵⁵gy	³³ggeel	⁵⁵gy		⁵⁵ji
20.366	Mo Br	¹ʔəri	²ri	³³ɣö	³³hhyu	³³ɣö	³³tji	³³ki
278.510	Monkey	ᴸmyok	⁰myok	¹¹mjoq	³³miuvq	¹¹myq	¹¹mjoq	¹¹myq
136.236	Mosquito			¹¹gɔ	³³ggoq	¹¹go	⁵⁵xhu ¹¹tju?	⁵⁵ji ¹¹kə?
59.61	Mother	ʔə-³ma	³ma	³³ma/³³ma	³³ma	³³ma	³³mo	³³mɔ		²ʔɑ ⁴mo
355.220	Mucus			⁵⁵bɛ	³³bbeil	⁵⁵bɛ	⁵⁵pi	⁵⁵pi		²m ²pi
115.389	Mushroom	¹s+mo	²hmui	⁵⁵hm/⁵⁵xhm	³³aol		⁵⁵mi	⁵⁵mi		⁴m ⁵phɑ
195.426	Name	¹ʔ+myiŋ	¹mañ	⁵⁵mjaŋ	³³miaol	⁵⁵mi	⁵⁵mi	⁵⁵mi		²m ⁶mi
243.556	Needle	ᴸg+rap	⁰ʔap	¹¹ɣɔq	³³hhovq	¹¹ɣoq			²¹ɣo	²kəʔ
17.303	Nest			⁵⁵gy	³³ggeel	⁵⁵gy	⁵⁵khy/⁵⁵tjhi	⁵⁵sjhi		⁶khɯ
269.568	New	ᴸʃik	⁰sac	¹¹sjyq	³³sivq	¹¹sjyq	¹¹sjy	¹¹sjy	²¹ʃɿ	²ʔɑ ¹sɯʔ
126.367	Nine	²go	²kûi	³³ɣö	³³hhyuq	³³ɣö, ¹¹ɣo	¹¹tji	¹¹ki		⁶kɯi
56.65	Not	²ma		¹¹ma	³³maq	¹¹ma	¹¹ma	¹¹ma,¹¹mo	³¹mɔ	²mɑ
361.567	Numb			³³byq	³³bbieiv	³³bjɛq	³³pi	³³pi
22.338	Old	¹ʔ+li		³³ö	³³yul	³³ü	⁵⁵tji	⁵⁵ki		⁵li
212.272	Old	²maŋ	²maŋ	¹¹mɔ	³³moq	¹¹mo	¹¹mu	¹¹mu		⁵maŋʔ
8.123	One	²di	²thi	¹¹thi/¹¹tiq	³³qiq	¹¹tjhi	¹¹thy	¹¹khy		²thɯʔ /²tho
228.429	Open	³pwaŋ	³phwaŋ, ³pwaŋ	³³phaŋ	³³pao	³³phɔ	³³phy	³³phu		³phuŋ/ ³pjəŋ
133.242	Other			¹¹tjhɔ	³³qoq	¹¹tjho	¹¹tsju	¹¹tjhu		²ɲ ²tɕhoŋ
173.395	Otter	¹pyam	¹phyam	⁵⁵sjhm	³³saol			⁵⁵sjhi
199.443	Owner			⁵⁵shaŋ	³³saol		³³sy	³³sy
15.115	Paddyhouse	¹ʔ+gyi	¹kyi	⁵⁵dji	³³jjil	⁵⁵dji	⁵⁵tjhi=¹¹khɔ	⁵⁵tjhi=tshaŋkhu
157.	Pair		¹ʔəcum	⁵⁵dzm	³³zzaol	⁵⁵dzɔ
298.581	Peel off			¹¹ləq	³³levq	¹¹hləq	¹¹kɔq?	¹¹lɔq
182.237	Person	¹tsan		⁵⁵tshɔ	³³col	⁵⁵tsho	⁵⁵tshu	⁵⁵tjhu		⁶tɕhoŋ
295.572	Pheasant	ᴴk+rök	⁰rac	¹¹gəq	³³ggevq	¹¹gy		¹¹kɔq
321.479	Pig	ᴸwak	⁰wak	¹¹zaq	³³hhavq	¹¹ɣaq	¹¹wa	¹¹va		²wa
155.394	Pillow	²m+gum	²ʔum	¹¹ɣm	³³hhaoq	¹¹ɣɔ	¹¹tjhi	¹¹khi		²ʔɑ ²kwiŋ
250.573	Pinch	ᴴtsit		³³tsəq	³³zev	³³tsəq	⁵⁵tsho	⁵⁵tjhə/¹¹tsəq	³¹tshɿ	³tɕhe/ ³tɕhuʔ
189.201	Plow			¹¹tshɛ	³³ceiq	¹¹tshɛ	¹¹tshy	¹¹tshə
279.	Poison	ᴸdok	⁰tok	¹¹doq				³⁵tv̩, ³tv ⁵	²toʔ
258.535	Pour			³³sjɛq	³³seiv	⁵⁵shɛ	⁵⁵sjhɛ	⁵⁵sjhi
542.332	Pull	¹m+gaŋ		³³ɣə	³³hhe	³³ɣə			³³ɣɯ
190.209	Pumpkin			³³dɛ	³³ddei	³³dɛ		³³tɛ
656.230	Rain	¹we	(²mui)	⁵⁵jɛ	³³sseil	⁵⁵jɛ	⁵⁵xhu	⁵⁵xhu		²ʔɑ ⁵ho
110.152	Raise	(¹m+yu)		³³tjhu	³³qu	³³tjhu	³³sjhu	³³tjhu
324.452	Rat	ᴴk+rwak	⁰krwak	³³ho-¹¹tjaq, ¹¹xoq-tjaq	³³huzavq	³³fu-¹¹tjaq	³³xho ¹¹tsha	³³fu-¹¹tsha		⁴hoʔ ²tɕa
11.185	Red	¹ʔni	¹ni	⁵⁵ne	³³nil	⁵⁵ni	⁵⁵ny	⁵⁵ny	⁵⁵ɳi	⁵nə
188.213	Release			¹¹pjhɛ	³³pieiq	¹¹phɛ	¹¹phi	¹¹phi
69.37	Rest			¹¹na	³³naq	¹¹na		¹¹nɔ
183.204	Rice	¹can	¹chan	⁵⁵tjhɛ	³³ceil	⁵⁵tjhɛ	⁵⁵tjhi	⁵⁵tjhi		⁴koʔ ⁶tɕhe
169.387	Rice ears			⁵⁵nm	³³naol	⁵⁵nɔ	⁵⁵ni	⁵⁵ni		⁶nəŋ
13.112	Ride	²dzi	²ci	¹¹dzi	³³zziq	¹¹dzy	¹¹tsy	¹¹tsy		¹tɯ
194.427	Ripen	³s+miŋ	¹hmyañ	³³mjaŋ	³³miao	³³miao,³³mjɔ	³³mi	³³mi
224.288	River	¹laŋ	¹khloŋ	⁵⁵lɔ	³³lol	⁵⁵lo	⁵⁵sjhy	⁵⁵lu
